Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/CE_OnlyPos_ps/Original_x_b_113x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/CE_OnlyPos_ps/Original_x_b_113x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 201.67915642261505
Time for 100 Batches: 0.3751207629839579
100 Batch Cumulative Loss: 202.2522794008255
Time for 100 Batches: 0.3743663708368937
100 Batch Cumulative Loss: 197.58102798461914
Time for 100 Batches: 0.37793366114298504
100 Batch Cumulative Loss: 203.10181069374084
Time for 100 Batches: 0.3797799229621887
100 Batch Cumulative Loss: 205.6367290019989
Time for 100 Batches: 0.3743671933809916
100 Batch Cumulative Loss: 205.14740633964539
Time for 100 Batches: 0.3701997518539429
100 Batch Cumulative Loss: 201.29608285427094
Time for 100 Batches: 0.37869972387949624
100 Batch Cumulative Loss: 197.9229475259781
Time for 100 Batches: 0.3729675769805908
100 Batch Cumulative Loss: 194.25023138523102
Time for 100 Batches: 0.3780689040819804
100 Batch Cumulative Loss: 195.19453608989716
Time for 100 Batches: 0.37138172388076784
100 Batch Cumulative Loss: 194.68151545524597
Time for 100 Batches: 0.37516738573710123
100 Batch Cumulative Loss: 191.46681606769562
Time for 100 Batches: 0.3724562883377075
100 Batch Cumulative Loss: 194.74263632297516
Time for 100 Batches: 0.3764296134312948
100 Batch Cumulative Loss: 206.01948726177216
Time for 100 Batches: 0.37822485764821373
100 Batch Cumulative Loss: 191.27236878871918
Time for 100 Batches: 0.3746702790260315
100 Batch Cumulative Loss: 195.75778019428253
Time for 100 Batches: 0.377032987276713
100 Batch Cumulative Loss: 188.72890996932983
Time for 100 Batches: 0.3765269557634989
100 Batch Cumulative Loss: 194.54667925834656
Time for 100 Batches: 0.3785243034362793
100 Batch Cumulative Loss: 191.340838432312
Time for 100 Batches: 0.37450780471165973
100 Batch Cumulative Loss: 194.62896919250488
Time for 100 Batches: 0.37692291736602784
100 Batch Cumulative Loss: 181.780866086483
Time for 100 Batches: 0.37692703008651735
100 Batch Cumulative Loss: 183.85350382328033
Time for 100 Batches: 0.37690589427947996
100 Batch Cumulative Loss: 186.46299588680267
Time for 100 Batches: 0.380100937684377
100 Batch Cumulative Loss: 188.73956310749054
Time for 100 Batches: 0.3735037406285604
100 Batch Cumulative Loss: 189.68804585933685
Time for 100 Batches: 0.3766266504923503
100 Batch Cumulative Loss: 181.09528768062592
Time for 100 Batches: 0.37571667035420736
100 Batch Cumulative Loss: 184.93237555027008
Time for 100 Batches: 0.37589118878046673
100 Batch Cumulative Loss: 186.82888162136078
Time for 100 Batches: 0.3716636856396993
100 Batch Cumulative Loss: 183.98248636722565
Time for 100 Batches: 0.37853713035583497
100 Batch Cumulative Loss: 209.46803176403046
Time for 100 Batches: 0.3803319493929545
100 Batch Cumulative Loss: 179.45216941833496
Time for 100 Batches: 0.3795429309209188
100 Batch Cumulative Loss: 183.02423298358917
Time for 100 Batches: 0.3766339023907979
100 Batch Cumulative Loss: 178.51676201820374
Time for 100 Batches: 0.3739936550458272
100 Batch Cumulative Loss: 180.24920308589935
Time for 100 Batches: 0.3726600607236226
100 Batch Cumulative Loss: 182.5739996433258
Time for 100 Batches: 0.3757943272590637
100 Batch Cumulative Loss: 178.10373902320862
Time for 100 Batches: 0.3734856009483337
100 Batch Cumulative Loss: 171.1687432527542
Time for 100 Batches: 0.37701325019200643
100 Batch Cumulative Loss: 193.40749537944794
Time for 100 Batches: 0.37383007208506264
100 Batch Cumulative Loss: 185.65283477306366
Time for 100 Batches: 0.3824609478314718
100 Batch Cumulative Loss: 186.21492409706116
Time for 100 Batches: 0.3768818895022074
100 Batch Cumulative Loss: 180.03017711639404
Time for 100 Batches: 0.3724514126777649
100 Batch Cumulative Loss: 178.74713802337646
Time for 100 Batches: 0.37501776218414307
100 Batch Cumulative Loss: 184.08236718177795
Time for 100 Batches: 0.38423864046732586
100 Batch Cumulative Loss: 169.01766097545624
Time for 100 Batches: 0.3748096982638041
100 Batch Cumulative Loss: 174.54149162769318
Time for 100 Batches: 0.3684724529584249
100 Batch Cumulative Loss: 169.5545324087143
Time for 100 Batches: 0.3721052289009094
100 Batch Cumulative Loss: 173.73156118392944
Time for 100 Batches: 0.37655423482259115
100 Batch Cumulative Loss: 173.97255206108093
Time for 100 Batches: 0.37627712488174436
100 Batch Cumulative Loss: 169.84445929527283
Time for 100 Batches: 0.37713034947713214
100 Batch Cumulative Loss: 175.26160371303558
Time for 100 Batches: 0.38356310526529946
100 Batch Cumulative Loss: 171.32646226882935
Time for 100 Batches: 0.37618170579274496
100 Batch Cumulative Loss: 187.80408918857574
Time for 100 Batches: 0.3740574479103088
100 Batch Cumulative Loss: 168.70016241073608
Time for 100 Batches: 0.37654062509536745
100 Batch Cumulative Loss: 167.50456321239471
Time for 100 Batches: 0.37596153020858764
100 Batch Cumulative Loss: 164.16641891002655
Time for 100 Batches: 0.3752775470415751
100 Batch Cumulative Loss: 166.21538388729095
Time for 100 Batches: 0.3712835748990377
100 Batch Cumulative Loss: 165.3035373687744
Time for 100 Batches: 0.3703475673993429
100 Batch Cumulative Loss: 160.2096644639969
Time for 100 Batches: 0.3800121267636617
100 Batch Cumulative Loss: 170.86658561229706
Time for 100 Batches: 0.3754829168319702
100 Batch Cumulative Loss: 185.5098307132721
Time for 100 Batches: 0.37790144284566246
100 Batch Cumulative Loss: 171.0684735774994
Time for 100 Batches: 0.37588722705841066
100 Batch Cumulative Loss: 160.06565070152283
Time for 100 Batches: 0.3736555735270182
100 Batch Cumulative Loss: 162.71401262283325
Time for 100 Batches: 0.37214187781016034
100 Batch Cumulative Loss: 162.08617293834686
Time for 100 Batches: 0.3767375071843465
100 Batch Cumulative Loss: 168.08777046203613
Time for 100 Batches: 0.3740399161974589
100 Batch Cumulative Loss: 160.04962903261185
Time for 100 Batches: 0.3772207816441854
100 Batch Cumulative Loss: 163.6562728881836
Time for 100 Batches: 0.37437096039454143
100 Batch Cumulative Loss: 167.1848915219307
Time for 100 Batches: 0.37851386070251464
100 Batch Cumulative Loss: 159.37928223609924
Time for 100 Batches: 0.375031844774882
100 Batch Cumulative Loss: 159.40846198797226
Time for 100 Batches: 0.3748642921447754
100 Batch Cumulative Loss: 159.2795968055725
Time for 100 Batches: 0.3758293946584066
100 Batch Cumulative Loss: 155.25958275794983
Time for 100 Batches: 0.37604337533315024
100 Batch Cumulative Loss: 155.86227416992188
Time for 100 Batches: 0.37877724568049115
100 Batch Cumulative Loss: 157.0206298828125
Time for 100 Batches: 0.3772526224454244
100 Batch Cumulative Loss: 157.3622566461563
Time for 100 Batches: 0.3735755681991577
100 Batch Cumulative Loss: 160.22803139686584
Time for 100 Batches: 0.37740184863408405
100 Batch Cumulative Loss: 156.38054156303406
Time for 100 Batches: 0.3764791965484619
100 Batch Cumulative Loss: 154.02429920434952
Time for 100 Batches: 0.3836620211601257
100 Batch Cumulative Loss: 160.11343449354172
Time for 100 Batches: 0.38006314436594646
100 Batch Cumulative Loss: 156.9014362692833
Time for 100 Batches: 0.382066289583842
100 Batch Cumulative Loss: 154.98633086681366
Time for 100 Batches: 0.38009461561838787
100 Batch Cumulative Loss: 156.30085170269012
Time for 100 Batches: 0.3790688673655192
100 Batch Cumulative Loss: 154.10411202907562
Time for 100 Batches: 0.3791881044705709
100 Batch Cumulative Loss: 149.7890897989273
Time for 100 Batches: 0.37448048988978067
100 Batch Cumulative Loss: 149.6708192229271
Time for 100 Batches: 0.3798931280771891
100 Batch Cumulative Loss: 156.2406359910965
Time for 100 Batches: 0.3735215107599894
100 Batch Cumulative Loss: 154.05904269218445
Time for 100 Batches: 0.37486287355422976
100 Batch Cumulative Loss: 154.07547891139984
Time for 100 Batches: 0.3770577033360799
100 Batch Cumulative Loss: 152.16269278526306
Time for 100 Batches: 0.3750279188156128
100 Batch Cumulative Loss: 148.21205639839172
Time for 100 Batches: 0.3722048163414001
100 Batch Cumulative Loss: 152.07074517011642
Time for 100 Batches: 0.3721378167470296
100 Batch Cumulative Loss: 152.10688823461533
Time for 100 Batches: 0.3780438264211019
100 Batch Cumulative Loss: 145.21822214126587
Time for 100 Batches: 0.3703882177670797
100 Batch Cumulative Loss: 151.5862693786621
Time for 100 Batches: 0.3755234400431315
100 Batch Cumulative Loss: 149.01455783843994
Time for 100 Batches: 0.3759254058202108
100 Batch Cumulative Loss: 150.5148645043373
Time for 100 Batches: 0.3791383663813273
100 Batch Cumulative Loss: 143.12605917453766
Time for 100 Batches: 0.37635708252588906
100 Batch Cumulative Loss: 145.800044298172
Time for 100 Batches: 0.3776111125946045
100 Batch Cumulative Loss: 137.51483303308487
Time for 100 Batches: 0.37467612822850543
100 Batch Cumulative Loss: 139.60114139318466
Time for 100 Batches: 0.3795215884844462
100 Batch Cumulative Loss: 149.521455347538
Time for 100 Batches: 0.37145522038141887
100 Batch Cumulative Loss: 145.65571761131287
Time for 100 Batches: 0.3783092737197876
100 Batch Cumulative Loss: 156.0459606051445
Time for 100 Batches: 0.3761861244837443
100 Batch Cumulative Loss: 148.72567760944366
Time for 100 Batches: 0.37750743627548217
100 Batch Cumulative Loss: 146.97389841079712
Time for 100 Batches: 0.3743086854616801
100 Batch Cumulative Loss: 147.16945683956146
Time for 100 Batches: 0.37412856419881185
100 Batch Cumulative Loss: 142.6258572936058
Time for 100 Batches: 0.3748362461725871
100 Batch Cumulative Loss: 144.3781710267067
Time for 100 Batches: 0.3780279040336609
100 Batch Cumulative Loss: 139.94376105070114
Time for 100 Batches: 0.37936495145161947
100 Batch Cumulative Loss: 137.82855933904648
Time for 100 Batches: 0.37149986426035564
100 Batch Cumulative Loss: 134.4859395623207
Time for 100 Batches: 0.3724050601323446
100 Batch Cumulative Loss: 146.08782708644867
Time for 100 Batches: 0.374899164835612
100 Batch Cumulative Loss: 144.09277337789536
Time for 100 Batches: 0.3831977963447571
100 Batch Cumulative Loss: 143.8226124048233
Time for 100 Batches: 0.37402549187342327
100 Batch Cumulative Loss: 144.20983219146729
Time for 100 Batches: 0.37333933512369794
100 Batch Cumulative Loss: 140.8986170887947
Time for 100 Batches: 0.37507216930389403
100 Batch Cumulative Loss: 135.77014183998108
Time for 100 Batches: 0.3790014664332072
100 Batch Cumulative Loss: 142.0380364060402
Time for 100 Batches: 0.37958157459894815
100 Batch Cumulative Loss: 136.6962901353836
Time for 100 Batches: 0.37085129419962565
100 Batch Cumulative Loss: 136.74134463071823
Time for 100 Batches: 0.37544493277867635
100 Batch Cumulative Loss: 139.66498124599457
Time for 100 Batches: 0.3740787386894226
100 Batch Cumulative Loss: 137.5819948911667
Time for 100 Batches: 0.37543311913808186
100 Batch Cumulative Loss: 136.08557331562042
Time for 100 Batches: 0.3763414978981018
100 Batch Cumulative Loss: 138.202363550663
Time for 100 Batches: 0.3701982339223226
100 Batch Cumulative Loss: 137.90108782052994
Time for 100 Batches: 0.3729385296503703
100 Batch Cumulative Loss: 139.22693169116974
Time for 100 Batches: 0.3758584181467692
100 Batch Cumulative Loss: 138.4645210504532
Time for 100 Batches: 0.37895868221918744
100 Batch Cumulative Loss: 134.5103104710579
Time for 100 Batches: 0.37148773272832236
100 Batch Cumulative Loss: 132.23308676481247
Time for 100 Batches: 0.3784785191218058
100 Batch Cumulative Loss: 130.79855698347092
Time for 100 Batches: 0.37700145641962685
100 Batch Cumulative Loss: 128.75174415111542
Time for 100 Batches: 0.37041667302449544
100 Batch Cumulative Loss: 141.92348831892014
Time for 100 Batches: 0.37235778172810874
100 Batch Cumulative Loss: 134.00065636634827
Time for 100 Batches: 0.37893537282943723
100 Batch Cumulative Loss: 133.77713125944138
Time for 100 Batches: 0.3714629093805949
100 Batch Cumulative Loss: 129.34634107351303
Time for 100 Batches: 0.37964376211166384
100 Batch Cumulative Loss: 150.4531034231186
Time for 100 Batches: 0.37458800872166953
100 Batch Cumulative Loss: 140.77027267217636
Time for 100 Batches: 0.3765695651372274
100 Batch Cumulative Loss: 129.20095843076706
Time for 100 Batches: 0.3755691965421041
100 Batch Cumulative Loss: 133.89877444505692
Time for 100 Batches: 0.37208662430445355
100 Batch Cumulative Loss: 132.95587539672852
