Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBL064C,YMR039C,0,-0.51364315,0.0,0.0,0.00026455026818439364
YDL054C,YPL240C,0,-0.5359391,0.0,0.0,0.0005291005363687873
YHR216W,YOR381W,0,-0.5379884,0.0,0.0,0.0007936508045531809
YCL026C-B,YLR226W,0,-0.53948283,0.0,0.0,0.0010582010727375746
YAL044C,YNL160W,0,-0.5565226,0.0,0.0,0.0013227512827143073
YLR321C,YGR008C,0,-0.5614197,0.0,0.0,0.0015873016091063619
YOR389W,YDR231C,0,-0.5628319,0.0,0.0,0.0018518518190830946
YOL127W,YDR405W,0,-0.5805731,0.0,0.0,0.002116402145475149
YGR280C,YCR071C,0,-0.5872841,0.0,0.0,0.0023809524718672037
YKL001C,YJR103W,0,-0.5879437,0.0,0.0,0.0026455025654286146
YCL026C-B,YJR047C,0,-0.59353125,0.0,0.0,0.002910052891820669
YLL022C,YOR317W,0,-0.5943179,0.0,0.0,0.0031746032182127237
YLR287C-A,YHR104W,0,-0.6124319,0.0,0.0,0.0034391535446047783
YML128C,YBR021W,0,-0.62145925,0.0,0.0,0.003703703638166189
YCR088W,YDR060W,0,-0.6245762,0.0,0.0,0.003968254197388887
YDR146C,YIL170W,0,-0.63027084,0.0,0.0,0.004232804290950298
YLR312C-B,YML027W,0,-0.6408955,0.0,0.0,0.004497354384511709
YLR174W,YNL217W,0,-0.6428565,0.0,0.0,0.004761904943734407
YML132W,YBL055C,0,-0.6432836,0.0,0.0,0.005026455037295818
YGR275W,YNR002C,0,-0.6435728,0.0,0.0,0.005291005130857229
YNL336W,YBR057C,0,-0.6454396,0.0,0.0,0.0055555556900799274
YDL066W,YOL004W,0,-0.6468358,0.0,0.0,0.005820105783641338
YLR158C,YEL034W,0,-0.64987826,0.0,0.0,0.006084655877202749
YCL026C-B,YPL228W,0,-0.6505996,0.0,0.0,0.0063492064364254475
YPR011C,YER087C-B,0,-0.6511309,0.0,0.0,0.006613756529986858
YBR093C,YMR291W,0,-0.654338,0.0,0.0,0.006878307089209557
YER054C,YBL046W,1,-0.65573955,0.03703703731298447,0.0026455025654286146,0.006878307089209557
YJL012C-A,YFL036W,0,-0.6580659,0.0357142873108387,0.0026455025654286146,0.0071428571827709675
YBR291C,YCR071C,0,-0.66025305,0.03448275849223137,0.0026455025654286146,0.007407407276332378
YPL249C-A,YJL005W,0,-0.6640252,0.03333333507180214,0.0026455025654286146,0.007671957835555077
YBR111W-A,YDL110C,0,-0.66562605,0.032258063554763794,0.0026455025654286146,0.007936508394777775
YCL055W,YER078C,0,-0.66585743,0.03125,0.0026455025654286146,0.008201058022677898
YBL113C,YMR280C,0,-0.6676148,0.03030303120613098,0.0026455025654286146,0.008465608581900597
YLR157C,YCR102C,0,-0.6690601,0.029411764815449715,0.0026455025654286146,0.008730159141123295
YGL223C,YFL002W-A,0,-0.67310596,0.02857142873108387,0.0026455025654286146,0.008994708769023418
YEL059C-A,YLR337W,0,-0.6735592,0.02777777798473835,0.0026455025654286146,0.009259259328246117
YCL062W,YLR148W,0,-0.6771914,0.027027027681469917,0.0026455025654286146,0.009523809887468815
YIL108W,YHR083W,0,-0.67855525,0.02631578966975212,0.0026455025654286146,0.009788359515368938
YLR285W,YPL240C,0,-0.68167627,0.025641025975346565,0.0026455025654286146,0.010052910074591637
YBR239C,YLR265C,0,-0.68253815,0.02500000037252903,0.0026455025654286146,0.010317460633814335
YLR050C,YMR145C,0,-0.68666494,0.024390242993831635,0.0026455025654286146,0.010582010261714458
YDL079C,YOR317W,0,-0.6912048,0.02380952425301075,0.0026455025654286146,0.010846560820937157
YLR009W,YDR322W,0,-0.6916089,0.023255813866853714,0.0026455025654286146,0.011111111380159855
YDL008W,YPL283C,0,-0.6916262,0.022727273404598236,0.0026455025654286146,0.011375661008059978
YOR073W,YLR391W,0,-0.69266284,0.02222222276031971,0.0026455025654286146,0.011640211567282677
YLL032C,YGR008C,0,-0.692749,0.021739130839705467,0.0026455025654286146,0.011904762126505375
YOR229W,YBR012W-A,0,-0.6933967,0.021276595070958138,0.0026455025654286146,0.012169311754405499
YGL010W,YIL047C,0,-0.69402945,0.02083333395421505,0.0026455025654286146,0.012433862313628197
YKR061W,YOR143C,0,-0.69420445,0.020408162847161293,0.0026455025654286146,0.012698412872850895
YOR025W,YLL040C,0,-0.6952349,0.019999999552965164,0.0026455025654286146,0.012962962500751019
YOR396W,YER169W,0,-0.6958895,0.019607843831181526,0.0026455025654286146,0.013227513059973717
YMR266W,YCL019W,0,-0.69717765,0.01923076994717121,0.0026455025654286146,0.013492063619196415
YPR035W,YDL038C,0,-0.699082,0.01886792480945587,0.0026455025654286146,0.013756614178419113
YDL064W,YPL276W,0,-0.69932723,0.018518518656492233,0.0026455025654286146,0.014021163806319237
YCR029C-A,YPR065W,0,-0.70007944,0.0181818176060915,0.0026455025654286146,0.014285714365541935
YKL112W,YOR287C,0,-0.7006991,0.01785714365541935,0.0026455025654286146,0.014550264924764633
YMR296C,YDL038C,0,-0.70139575,0.017543859779834747,0.0026455025654286146,0.014814814552664757
YHR039C-B,YLR336C,0,-0.7019477,0.017241379246115685,0.0026455025654286146,0.015079365111887455
YIL111W,YFL038C,0,-0.70230377,0.016949152573943138,0.0026455025654286146,0.015343915671110153
YMR136W,YHL032C,0,-0.70258176,0.01666666753590107,0.0026455025654286146,0.015608465299010277
YDR162C,YFL052W,0,-0.703385,0.016393441706895828,0.0026455025654286146,0.01587301678955555
YOL052C,YML078W,0,-0.7043382,0.016129031777381897,0.0026455025654286146,0.016137566417455673
YPR196W,YDL194W,0,-0.70472217,0.01587301678955555,0.0026455025654286146,0.016402116045355797
YPR124W,YMR307W,0,-0.7051166,0.015625,0.0026455025654286146,0.01666666753590107
YML025C,YGL046W,0,-0.70560014,0.015384615398943424,0.0026455025654286146,0.016931217163801193
YGR154C,YGR031C-A,0,-0.70657873,0.01515151560306549,0.0026455025654286146,0.017195766791701317
YLR410W-B,YER003C,0,-0.70667636,0.014925372786819935,0.0026455025654286146,0.01746031828224659
YDR405W,YPR137C-B,0,-0.70668566,0.014705882407724857,0.0026455025654286146,0.017724867910146713
YML106W,YDR210W-B,0,-0.7066994,0.014492753893136978,0.0026455025654286146,0.017989417538046837
YNL054W-B,YMR171C,0,-0.70672023,0.014285714365541935,0.0026455025654286146,0.01825396902859211
YOL103W-B,YJR119C,0,-0.70672226,0.014084506779909134,0.0026455025654286146,0.018518518656492233
YLL062C,YDR261C-C,0,-0.7067499,0.013888888992369175,0.0026455025654286146,0.018783068284392357
YPR158W-A,YBR210W,0,-0.70675206,0.013698630034923553,0.0026455025654286146,0.01904761977493763
YLR086W,YOR192C-B,0,-0.70677197,0.013513513840734959,0.0026455025654286146,0.019312169402837753
YPR158W-A,YBR050C,0,-0.70677614,0.013333333656191826,0.0026455025654286146,0.019576719030737877
YPR137C-A,YPR185W,0,-0.7067983,0.01315789483487606,0.0026455025654286146,0.01984127052128315
YBR288C,YDR261W-A,0,-0.70680416,0.012987012974917889,0.0026455025654286146,0.020105820149183273
YDR164C,YPL257W-A,0,-0.7068169,0.012820512987673283,0.0026455025654286146,0.020370369777083397
YJL093C,YER159C-A,0,-0.706823,0.012658228166401386,0.0026455025654286146,0.02063492126762867
YLR043C,YPL257W-A,0,-0.706823,0.012500000186264515,0.0026455025654286146,0.020899470895528793
YDR316W-A,YHR092C,0,-0.7068647,0.012345679104328156,0.0026455025654286146,0.021164020523428917
YHL007C,YPR137C-B,0,-0.7068702,0.012195121496915817,0.0026455025654286146,0.02142857201397419
YOR279C,YHL009W-B,0,-0.70689905,0.012048192322254181,0.0026455025654286146,0.021693121641874313
YPR021C,YOR343W-A,0,-0.7069106,0.011904762126505375,0.0026455025654286146,0.021957671269774437
YOR349W,YGR161W-B,0,-0.7069491,0.0117647061124444,0.0026455025654286146,0.02222222276031971
YDR316W-A,YDR484W,0,-0.70694923,0.011627906933426857,0.0026455025654286146,0.022486772388219833
YGR038C-A,YKR022C,0,-0.70696187,0.01149425283074379,0.0026455025654286146,0.022751322016119957
YGR027W-B,YBR170C,0,-0.7069905,0.011363636702299118,0.0026455025654286146,0.02301587350666523
YBR104W,YDR261C-D,0,-0.70699835,0.01123595517128706,0.0026455025654286146,0.023280423134565353
YLR383W,YGR161W-B,0,-0.70703197,0.011111111380159855,0.0026455025654286146,0.023544972762465477
YPR137C-A,YHR115C,0,-0.70707035,0.010989011265337467,0.0026455025654286146,0.02380952425301075
YLR410W-B,YNL073W,0,-0.70709,0.010869565419852734,0.0026455025654286146,0.024074073880910873
YER137C-A,YOL008W,0,-0.70711017,0.01075268816202879,0.0026455025654286146,0.024338623508810997
YDR238C,YGL046W,0,-0.707113,0.010638297535479069,0.0026455025654286146,0.02460317499935627
YDR261W-B,YBR175W,0,-0.7071239,0.010526316240429878,0.0026455025654286146,0.024867724627256393
YAL053W,YGR027W-A,0,-0.7071239,0.010416666977107525,0.0026455025654286146,0.025132274255156517
YPL060C-A,YLR421C,0,-0.7071409,0.010309278033673763,0.0026455025654286146,0.02539682574570179
YNR007C,YPR158W-A,0,-0.7071755,0.010204081423580647,0.0026455025654286146,0.025661375373601913
YPL257W-A,YBR061C,0,-0.7071942,0.010101010091602802,0.0026455025654286146,0.025925925001502037
YNR057C,YPR137C-A,0,-0.70721173,0.009999999776482582,0.0026455025654286146,0.02619047649204731
YEL046C,YOR343C-B,0,-0.7072296,0.009900989942252636,0.0026455025654286146,0.026455026119947433
YDR368W,YLR157C-A,0,-0.7072296,0.009803921915590763,0.0026455025654286146,0.026719577610492706
YDR014W-A,YOR150W,0,-0.7072296,0.009708737954497337,0.0026455025654286146,0.02698412723839283
YBL101W-B,YCR073C,0,-0.7072296,0.009615384973585606,0.0026455025654286146,0.027248676866292953
YER029C,YGR027W-B,0,-0.7072296,0.009523809887468815,0.0026455025654286146,0.027513228356838226
YNL024C-A,YGL054C,0,-0.7072296,0.009433962404727936,0.0026455025654286146,0.02777777798473835
YHL009W-A,YMR169C,0,-0.7072296,0.009345794096589088,0.0026455025654286146,0.028042327612638474
YER020W,YML045W-A,0,-0.7072296,0.009259259328246117,0.0026455025654286146,0.028306879103183746
YBL101W-B,YKL171W,0,-0.7072296,0.00917431153357029,0.0026455025654286146,0.02857142873108387
YDR014W-A,YLR034C,0,-0.7072296,0.00909090880304575,0.0026455025654286146,0.028835978358983994
YBL029C-A,YGL103W,0,-0.7072296,0.009009009227156639,0.0026455025654286146,0.029100529849529266
YCL003W,YDR056C,0,-0.7072296,0.008928571827709675,0.0026455025654286146,0.02936507947742939
YKL200C,YIR035C,0,-0.7072296,0.008849557489156723,0.0026455025654286146,0.029629629105329514
YML045W-A,YOR206W,0,-0.7072296,0.008771929889917374,0.0026455025654286146,0.029894180595874786
YNL024C-A,YOR328W,0,-0.7072296,0.008695651777088642,0.0026455025654286146,0.03015873022377491
YBL101W-A,YDR027C,0,-0.7072296,0.008620689623057842,0.0026455025654286146,0.030423279851675034
YOR343C-B,YGL226C-A,0,-0.7072296,0.008547008968889713,0.0026455025654286146,0.030687831342220306
YDR264C,YBL101W-A,0,-0.7072296,0.008474576286971569,0.0026455025654286146,0.03095238097012043
YBL029C-A,YDR306C,0,-0.7072296,0.008403361774981022,0.0026455025654286146,0.031216930598020554
YJR101W,YOR343C-B,0,-0.7072296,0.008333333767950535,0.0026455025654286146,0.031481482088565826
YNL024C-A,YPR152C,0,-0.7072296,0.00826446246355772,0.0026455025654286146,0.0317460335791111
YBL029C-A,YNR073C,0,-0.7072296,0.008196720853447914,0.0026455025654286146,0.032010581344366074
YGL258W-A,YJR002W,0,-0.7072296,0.008130080997943878,0.0026455025654286146,0.032275132834911346
YNL169C,YLR157C-A,0,-0.7072296,0.008064515888690948,0.0026455025654286146,0.03253968432545662
YBL101W-A,YMR049C,0,-0.7072296,0.00800000037997961,0.0026455025654286146,0.032804232090711594
YHR152W,YDR381C-A,0,-0.7072296,0.007936508394777775,0.0026455025654286146,0.033068783581256866
YCR029C-A,YPL257W-B,0,-0.7072296,0.007874015718698502,0.0026455025654286146,0.03333333507180214
YOR187W,YBL029C-A,0,-0.7072296,0.0078125,0.0026455025654286146,0.033597882837057114
YML045W-A,YEL055C,0,-0.7072296,0.007751937955617905,0.0026455025654286146,0.033862434327602386
YBL101W-A,YKL101W,0,-0.7072296,0.007692307699471712,0.0026455025654286146,0.03412698581814766
YML045W-A,YIL063C,0,-0.7072296,0.007633587811142206,0.0026455025654286146,0.034391533583402634
YKL222C,YPL189C-A,0,-0.7072296,0.007575757801532745,0.0026455025654286146,0.034656085073947906
YGL258W-A,YOR393W,0,-0.7072296,0.007518797181546688,0.0026455025654286146,0.03492063656449318
YGL210W-A,YJR028W,0,-0.7072296,0.007462686393409967,0.0026455025654286146,0.035185184329748154
YDR349C,YOR343C-B,0,-0.7072296,0.007407407276332378,0.0026455025654286146,0.035449735820293427
YGR038C-A,YAL001C,0,-0.7072296,0.007352941203862429,0.0026455025654286146,0.0357142873108387
