File Name,Mean,Standard Deviation
Sudarsanam_2000_PMID_10725359\2010.snf_swi_mutants.pcl,0.0120041577899135,0.3159617404157444
Travers_2000_PMID_10847680\2010.unfolded_protein_response.pcl,0.0651417926772622,0.5294676815744288
Yun_2000_PMID_10744769\2010.Yun00.flt.knn.avg.pcl,0.0058254481927099,0.8846064067047434
Zhu_2000_PMID_10894548\GSE3182_setA_family.pcl,0.0155275432361213,0.3076417352097447
Angus-Hill_2001_PMID_11336698\2010.Angus01.flt.knn.avg.pcl,0.0025191874409215,0.4621617289445996
Backhus_2001_PMID_12702356\GSE4887_setA_family.pcl,0.0019119898945318,0.5531827287316554
Baetz_2001_PMID_11533240\2010.Baetz01.flt.knn.avg.pcl,0.0287371815237366,0.6551161133487238
Bedalov_2001_PMID_11752457\2010.Bedalov01.flt.knn.avg.pcl,0.0200085011909448,0.5250946636612378
Carmel-Harel_2001_PMID_11169101\2010.CarmelHarel01.flt.knn.avg.pcl,0.0864886804635559,0.3735472751158596
Carroll_2001_PMID_11675494\2010.Carroll01.log.flt.knn.avg.pcl,0.0224142278892276,0.5418896132157891
Causton_2001_PMID_11179418\2010.Causton01_acid.filter.flt.knn.avg.div.log.pcl,0.0733988032308244,0.3306685845155635
Causton_2001_PMID_11179418\2010.Causton01_alkali.filter.flt.knn.avg.div.log.pcl,0.1214906053809327,0.4015937600266739
Causton_2001_PMID_11179418\2010.Causton01_heat.filter.flt.knn.avg.div.log.pcl,0.3416701575163432,0.4994619423866
Causton_2001_PMID_11179418\2010.Causton01_NaCl.filter.flt.knn.avg.div.log.pcl,0.1804741940092801,0.4871159111082723
Causton_2001_PMID_11179418\2010.Causton01_peroxide.filter.flt.knn.avg.div.log.pcl,0.158011090322692,0.573414872810596
Causton_2001_PMID_11179418\2010.Causton01_sorbitol.filter.flt.knn.avg.div.log.pcl,0.207748006159949,0.485649820336352
Epstein_2001_PMID_11179416\2010.Epstein00.flt.knn.avg.pcl,0.0028899244916439,0.2766041641208669
