GO Term,AUC,Average Precision
GO:0000054,0.7356338983595178,0.17764388416365628
GO:0000278,0.6950822723497297,0.1647946094782515
GO:0000747,0.5797240913589908,0.11966182612830942
GO:0001403,0.5087411053012146,0.09862510316066611
GO:0006260,0.7815613628565863,0.20162194041840054
GO:0006281,0.7460122728364711,0.18054966667971828
GO:0006310,0.652048544925119,0.15266504203054038
GO:0006325,0.7595015456051756,0.1869236200641502
GO:0006352,0.7142714104342567,0.17465263693691133
GO:0006353,0.41767092217529606,0.0937314993586422
GO:0006360,0.9038317071285652,0.26672591815274893
GO:0006364,0.9381469985234064,0.2967747295390476
GO:0006366,0.6839084550371309,0.15529199390248818
GO:0006383,0.6712917521019839,0.16933030551659525
GO:0006397,0.7644130918936147,0.1967549728710543
GO:0006401,0.7166179092453305,0.18942376509308814
GO:0006413,0.870154576437974,0.2504724785280701
GO:0006414,0.4918750012886118,0.1089339745710745
GO:0006418,0.5647962172334264,0.11700453240071071
GO:0006457,0.6966069095877783,0.1814460552029989
GO:0006468,0.6385727269412865,0.13590155512839555
GO:0006470,0.6489466074864215,0.14115655512843298
GO:0006486,0.8238410906969168,0.23495262662456795
GO:0006629,0.7035455460888757,0.17206895047697154
GO:0006811,0.7030665465424959,0.1738343633894216
GO:0006865,0.7264206521549793,0.18381765951625695
GO:0006869,0.5401655052203681,0.10275977257962261
GO:0006873,0.6421942721771245,0.136741737279025
GO:0006887,0.5957634031816303,0.12110003318229477
GO:0006897,0.7240617269008653,0.17572325470230796
GO:0006970,0.5982125456263205,0.1263578155386177
GO:0006979,0.7448119089185705,0.18374606281925332
GO:0007005,0.6536463635402456,0.15051078930700368
GO:0007010,0.6571807283432202,0.14156373901191083
GO:0007031,0.40263218164495507,0.09150984570168066
GO:0007033,0.6782141820210646,0.16569848551736638
GO:0007059,0.7705247275224485,0.2003505421125076
GO:0007124,0.5273572734091325,0.1006875780407678
GO:0008033,0.482422563365469,0.09518708765292852
GO:0008380,0.7494772724055113,0.18962724022905936
GO:0008643,0.6835020195908675,0.15321180000223897
GO:0009408,0.6465966970110849,0.15321027140442417
GO:0009451,0.8637746374647408,0.2564103240980343
GO:0016197,0.7577130625863803,0.19772161202202143
GO:0032196,0.9291832730249946,0.27897170913287184
GO:0042273,0.9226250925254267,0.28942788056622853
GO:0042274,0.888727783314189,0.2637752322679296
GO:0045333,0.7279155453168046,0.2125597609125755
GO:0051321,0.7281280012186299,0.19005986998027022
GO:0051603,0.8218835446991725,0.23672327899255535
GO:0051726,0.6632184551956916,0.14516232005371288
