Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR460W,YPL122C,1,0.21629988,1.0,0.0009496675920672715,0.0
YML010W,YDR463W,1,0.18052265,1.0,0.001899335184134543,0.0
YHR090C,YOR048C,0,0.16192997,0.6666666865348816,0.001899335184134543,0.00010053282312583178
YDR460W,YIR023W,1,0.15037823,0.75,0.0028490028344094753,0.00010053282312583178
YKL041W,YNL149C,0,0.14383844,0.6000000238418579,0.0028490028344094753,0.00020106564625166357
YDR460W,YBL093C,1,0.14091681,0.6666666865348816,0.003798670368269086,0.00020106564625166357
YER168C,YMR061W,0,0.13849139,0.5714285969734192,0.003798670368269086,0.0003015984839294106
YLR323C,YOR106W,0,0.13372333,0.5,0.003798670368269086,0.00040213129250332713
YNL236W,YLR071C,1,0.13229272,0.5555555820465088,0.0047483379021286964,0.00040213129250332713
YOR038C,YDR311W,1,0.12994318,0.6000000238418579,0.005698005668818951,0.00040213129250332713
YKL020C,YBR049C,1,0.12934561,0.6363636255264282,0.006647673435509205,0.00040213129250332713
YER068W,YDR311W,1,0.12801808,0.6666666865348816,0.007597340736538172,0.00040213129250332713
YKR038C,YMR112C,1,0.1277788,0.692307710647583,0.008547008968889713,0.00040213129250332713
YKL110C,YOR047C,1,0.12762293,0.7142857313156128,0.009496675804257393,0.00040213129250332713
YKR038C,YER164W,1,0.12735096,0.7333333492279053,0.010446343570947647,0.00040213129250332713
YGR253C,YGR057C,0,0.12724634,0.6875,0.010446343570947647,0.0005026641301810741
YGL151W,YJL140W,1,0.12665074,0.7058823704719543,0.011396011337637901,0.0005026641301810741
YPR049C,YDR257C,0,0.12653813,0.6666666865348816,0.011396011337637901,0.0006031969678588212
YOL084W,YER053C,0,0.12439316,0.6315789222717285,0.011396011337637901,0.0007037297473289073
YLR418C,YNL076W,1,0.12435566,0.6499999761581421,0.012345679104328156,0.0007037297473289073
YGL130W,YKL032C,1,0.1230084,0.6666666865348816,0.01329534687101841,0.0007037297473289073
YGL139W,YOR179C,0,0.12284664,0.6363636255264282,0.01329534687101841,0.0008042625850066543
YGL112C,YMR033W,1,0.12271696,0.6521739363670349,0.014245014637708664,0.0008042625850066543
YBR049C,YMR039C,1,0.120930225,0.6666666865348816,0.015194681473076344,0.0008042625850066543
YDL106C,YKL032C,0,0.120262496,0.6399999856948853,0.015194681473076344,0.0009047954226844013
YDR228C,YPR086W,1,0.11924924,0.6538461446762085,0.016144350171089172,0.0009047954226844013
YDR028C,YDR003W,0,0.113548055,0.6296296119689941,0.016144350171089172,0.0010053282603621483
YLR033W,YIL021W,1,0.11353652,0.6428571343421936,0.017094017937779427,0.0010053282603621483
YML127W,YNL085W,0,0.11299622,0.6206896305084229,0.017094017937779427,0.0011058610398322344
YOR179C,YNL216W,1,0.11292936,0.6333333253860474,0.01804368384182453,0.0011058610398322344
YPL122C,YNL199C,1,0.11218992,0.6451612710952759,0.018993351608514786,0.0011058610398322344
YDR145W,YLR309C,0,0.11109611,0.625,0.018993351608514786,0.0012063939357176423
YOR315W,YDR195W,1,0.11058638,0.6363636255264282,0.01994301937520504,0.0012063939357176423
YJL059W,YLR098C,0,0.11057854,0.6176470518112183,0.01994301937520504,0.0013069267151877284
YOL043C,YER100W,0,0.109916925,0.6000000238418579,0.01994301937520504,0.0014074594946578145
YOL108C,YNL166C,0,0.10960824,0.5833333134651184,0.01994301937520504,0.0015079923905432224
YDR460W,YPR008W,1,0.109166756,0.5945945978164673,0.020892687141895294,0.0015079923905432224
YOL102C,YJR134C,0,0.108892195,0.5789473652839661,0.020892687141895294,0.0016085251700133085
YNL119W,YGR144W,0,0.10882689,0.5641025900840759,0.020892687141895294,0.0017090579494833946
YMR033W,YMR001C,0,0.10829104,0.550000011920929,0.020892687141895294,0.0018095908453688025
