GO Term,AUC,Average Precision
GO:0000054,0.900007553657508,0.2677375978687734
GO:0000278,0.7242760918032568,0.17783646602048114
GO:0000747,0.5921229083622404,0.12348185396668586
GO:0000902,0.5808479991663057,0.11655669859661297
GO:0000910,0.6530900905878939,0.14417477083680305
GO:0001403,0.6118172360607355,0.1313299982924149
GO:0003700,0.512482545288957,0.09816581289876591
GO:0004518,0.7324885458595395,0.2124855059473352
GO:0005085,0.6454847284589793,0.14519369127689571
GO:0006260,0.7766852737974947,0.20249794163961302
GO:0006281,0.742484273361222,0.17260733989761634
GO:0006310,0.713970272076094,0.16366155261072246
GO:0006325,0.752370090167345,0.18576469738510523
GO:0006352,0.7679991251007219,0.19350341333247975
GO:0006353,0.6767560362030625,0.15771721955554796
GO:0006360,0.839688893128892,0.23523364594939983
GO:0006364,0.9014059124739354,0.2855413777597926
GO:0006366,0.6816972715088526,0.15710870476473462
GO:0006383,0.6867149491201747,0.1820249082074893
GO:0006397,0.7639419088900852,0.18905432203344325
GO:0006401,0.6809656367276012,0.1785497209937735
GO:0006413,0.712702888377304,0.20647344162445497
GO:0006414,0.6931439383618646,0.17485047684925975
GO:0006418,0.5516202861191181,0.11305413683191007
GO:0006457,0.5369168180034242,0.1134861100194129
GO:0006468,0.5994347274525683,0.12151476822996682
GO:0006470,0.5611379127717654,0.12189216468950886
GO:0006486,0.7294636361385929,0.18298531093245202
GO:0006497,0.5736512368877487,0.12804167740393488
GO:0006605,0.6084409083908275,0.1311017454659397
GO:0006629,0.6312438187165905,0.13893596542829817
GO:0006766,0.5910184541567737,0.12383389710228551
GO:0006811,0.6078958183593561,0.1313227530250495
GO:0006865,0.5280144575929495,0.10109008583140108
GO:0006869,0.5944299444237112,0.12493375518205592
GO:0006873,0.6012217283323936,0.12260708663138477
GO:0006887,0.7003100287194346,0.1651596756221274
GO:0006897,0.6971690905166325,0.1683678231246092
GO:0006970,0.579260454427017,0.11963182126053355
GO:0006979,0.6025499083651548,0.14002236608212645
GO:0006997,0.7691380532046579,0.19662218583502544
GO:0007005,0.6344939094709592,0.1469984129586003
GO:0007010,0.6805262729759667,0.14874405061589047
GO:0007031,0.6362638671717216,0.13384549745257474
GO:0007033,0.6700795455947518,0.1465252743905241
GO:0007059,0.7946580011475175,0.2029838910949501
GO:0007114,0.7165797277723587,0.17019317757880145
GO:0007124,0.5635566364492565,0.11521741272373633
GO:0008033,0.6346564902406971,0.147651091116262
GO:0008135,0.7528706552626593,0.22218873363746194
GO:0008213,0.7006755764974931,0.17541568999211882
GO:0008380,0.7569125454258068,0.1832441224516793
GO:0008643,0.5714480491513015,0.12512949576244653
GO:0009408,0.5691527612249314,0.12212558234537835
GO:0009451,0.8021843636077934,0.23659247608211909
GO:0010324,0.6948209991799138,0.17032146267321976
GO:0015931,0.6853470000097189,0.16404546409438958
GO:0016050,0.6489481626709631,0.1453304734932818
GO:0016197,0.6575928550408853,0.14789654812953076
GO:0016570,0.7768277266808806,0.20314790487695825
GO:0018193,0.698078371662946,0.16785873018686165
GO:0032196,0.9420190012497002,0.29989763299443506
GO:0032200,0.5548360909895272,0.10787444520132108
GO:0032787,0.6865394548100355,0.15981386689096688
GO:0042221,0.6589756366513585,0.14553503502228043
GO:0042255,0.8880729232249179,0.28183629203611715
GO:0042273,0.9304792751766086,0.29721379905735906
GO:0042274,0.9002840940621822,0.2749234771299543
GO:0042594,0.5269593993500198,0.11237711117510156
GO:0043543,0.5966739096593069,0.13153027074038984
GO:0045333,0.7033025448209796,0.18471702388470823
GO:0048193,0.717899364267296,0.16507504481889984
GO:0048284,0.6640857664755349,0.16280634147780282
GO:0048308,0.6805026744600915,0.16949142336905484
GO:0051049,0.5986394650460064,0.14310897322315158
GO:0051052,0.6483822857664616,0.14985987193391495
GO:0051321,0.671758546463796,0.1559910639924082
GO:0051603,0.7686448170880639,0.20129709544845603
GO:0051726,0.6998481825404187,0.161522985287688
