GO Term,AUC,Average Precision
GO:0000054,0.9139741196850294,0.29022650902718305
GO:0000278,0.8690624266867949,0.26824885239993984
GO:0000747,0.8956707760461352,0.2707113090089776
GO:0001403,0.8696903466124998,0.2549612927192991
GO:0002181,0.9390295819654023,0.3021880911304192
GO:0006260,0.8955725936964578,0.2798654135438529
GO:0006281,0.8906940141088827,0.27521846374869346
GO:0006310,0.8890825472889965,0.2601529951142994
GO:0006325,0.8821247995116017,0.2687276214185086
GO:0006352,0.9049311595245434,0.2760423259619962
GO:0006353,0.9339217740262832,0.2930270705562077
GO:0006360,0.9253472490039739,0.2891737398864193
GO:0006364,0.9300616720176555,0.30009985867345873
GO:0006366,0.8627208937445856,0.26605656988986515
GO:0006383,0.9059543634112607,0.2778840378414501
GO:0006397,0.8710772824102844,0.2649176765538075
GO:0006401,0.8341384298329623,0.24355074585635553
GO:0006413,0.891543094421176,0.2743990042704073
GO:0006414,0.8442130922855999,0.2593872846886516
GO:0006418,0.949014536738055,0.3050545485369371
GO:0006457,0.8748303160321983,0.2625084712654352
GO:0006468,0.8713522157027407,0.2563175633366812
GO:0006470,0.7859887404621643,0.2176789756322449
GO:0006486,0.889922635170684,0.27935667340863835
GO:0006629,0.863249463072343,0.26205829130451785
GO:0006811,0.8864061718465421,0.26645132340355354
GO:0006865,0.90593833722897,0.2786873458650979
GO:0006869,0.8159313448824581,0.22604158972339197
GO:0006873,0.8586991800633682,0.2509839377660643
GO:0006887,0.9044885713457955,0.2788923525674777
GO:0006897,0.8846364553968359,0.26939136284725235
GO:0006970,0.827668511866539,0.2425799862451174
GO:0006979,0.8210304225088436,0.2359613390788436
GO:0007005,0.8756408330462132,0.26543042151088064
GO:0007010,0.8897692649147727,0.26803707131133836
GO:0007031,0.862271545079759,0.26447831140187655
GO:0007033,0.8349401157249972,0.24531245659901338
GO:0007059,0.8918014001280853,0.2705902720486576
GO:0007124,0.8628903695339527,0.2544501297568733
GO:0008033,0.8734439843940358,0.2672619832354513
GO:0008380,0.8790283136946594,0.26861140806024725
GO:0008643,0.9198807849721369,0.2882876346104524
GO:0009408,0.7873048778789605,0.22959819389676506
GO:0009451,0.8864812202446735,0.27256312069296834
GO:0016197,0.8956085585972019,0.2748235453231768
GO:0032196,0.9407415064645677,0.29793024241043764
GO:0032543,0.9482270021632695,0.3058408305109902
GO:0042273,0.938616795554302,0.30162140868333254
GO:0042274,0.9466910513477421,0.3049776609519666
GO:0045333,0.9133137961732414,0.28678129450638185
GO:0051321,0.8607775320037935,0.2566379909969189
GO:0051603,0.8778178297108548,0.26885482191565363
GO:0051726,0.8584136470274428,0.25711907643824816
