GO Term,AUC,Average Precision
GO:0000054,0.9343026590677984,0.2828581550568608
GO:0000278,0.7693222735182975,0.19819512514160437
GO:0000747,0.6503193634844661,0.15185631002350286
GO:0000902,0.6507742728282571,0.14131870503181762
GO:0000910,0.659745999100417,0.1427163442352956
GO:0001403,0.720881785134047,0.17219368750152508
GO:0003700,0.7402716368812517,0.1844195205880837
GO:0004518,0.8088163645062278,0.22690975620191206
GO:0005085,0.7362440584505338,0.1803863979794107
GO:0006260,0.8324551799932008,0.2332121301503344
GO:0006281,0.7745268186084101,0.19199623457003723
GO:0006310,0.7266572737590389,0.177467925849286
GO:0006325,0.794277910933523,0.20525131522999568
GO:0006352,0.8345259871883132,0.22404751611951979
GO:0006353,0.6173540959699135,0.13065709062673228
GO:0006360,0.8714604285376683,0.2475347085901716
GO:0006364,0.944722367518973,0.3020635686029087
GO:0006366,0.7082623625196707,0.17141967423937537
GO:0006383,0.7888422637004843,0.21458744797364007
GO:0006397,0.7901749100689035,0.20777875429120932
GO:0006401,0.7708442731099733,0.20496798285977408
GO:0006413,0.8539969635469059,0.25832671408119595
GO:0006414,0.9350631328955801,0.29228831034040814
GO:0006418,0.8725393274105201,0.25981478113188317
GO:0006457,0.7309306375186743,0.18460223527049477
GO:0006468,0.7179546367097117,0.16249554216590795
GO:0006470,0.6494823241465245,0.15864578103364418
GO:0006486,0.7985797261273679,0.23086772558160804
GO:0006497,0.7267367528663299,0.18369775820432116
GO:0006605,0.7222166376994732,0.17260373694720593
GO:0006629,0.7321296359969472,0.18576044093682006
GO:0006766,0.7589343631799671,0.19490803547880867
GO:0006811,0.7685314543248599,0.19437634924460542
GO:0006865,0.707594615342255,0.16407431190408894
GO:0006869,0.6347739644145424,0.14506376042857871
GO:0006873,0.7062240916279208,0.16102801039814948
GO:0006887,0.7621328876390361,0.19483238118046448
GO:0006897,0.7669167284699453,0.2011109556501562
GO:0006970,0.7533200905049876,0.1916664065434174
GO:0006979,0.7698814547716069,0.21012476799162952
GO:0006997,0.7857463669047462,0.21642330675744093
GO:0007005,0.6741358190766557,0.16552414835176685
GO:0007010,0.7516632727411766,0.17995270293951035
GO:0007031,0.822715990162714,0.22386156812641034
GO:0007033,0.7521717274505962,0.19328781935640357
GO:0007059,0.8133425452119607,0.21820668874139135
GO:0007114,0.726246182604386,0.17823503551090306
GO:0007124,0.6801974542282987,0.14937547169761226
GO:0008033,0.6743062194940327,0.16443313359857747
GO:0008135,0.9207482889087958,0.28765306492202053
GO:0008213,0.8083215933135394,0.224300007986052
GO:0008380,0.7705101822585143,0.20025928703085943
GO:0008643,0.7718673076653305,0.19833704673136648
GO:0009408,0.8187600866094794,0.23038197066367527
GO:0009451,0.8873712707249638,0.2662003075792031
GO:0010324,0.7616139095602451,0.20239662229608404
GO:0015931,0.7454481805862372,0.19291867972639473
GO:0016050,0.7237248540991922,0.18233666961022316
GO:0016197,0.8602782864030686,0.24311337529817356
GO:0016570,0.7866409094673898,0.20475048311054705
GO:0018193,0.8123186057904669,0.2155238755798269
GO:0032196,0.9480052774543133,0.30329606558517974
GO:0032200,0.6394689100118756,0.14686709259247238
GO:0032787,0.7821052736618492,0.2131652697087689
GO:0042221,0.6593249996317212,0.15068850680914792
GO:0042255,0.9227696367422309,0.29389668231525207
GO:0042273,0.945618642500824,0.3001881635812196
GO:0042274,0.9093661529947705,0.28540344096540926
GO:0042594,0.8308977302595851,0.22331227138117477
GO:0043543,0.6802149091625099,0.15347827675870873
GO:0045333,0.8370631817641605,0.2486079235943881
GO:0048193,0.8349935458090516,0.23174508058076554
GO:0048284,0.6666356085017169,0.16239745271255485
GO:0048308,0.7774815841146425,0.1985267640004082
GO:0051049,0.6371717299475814,0.14720166885491573
GO:0051052,0.7273983878074409,0.18195441969833173
GO:0051321,0.7719101809724128,0.20810464432158254
GO:0051603,0.8390876372010891,0.24768369325927714
GO:0051726,0.7544664546770827,0.1873396989134225
