GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = None;NES*_neg=None)),Leading-edge subset
GO:1901576,organic substance biosynthetic process,1.0049999999999994,0.84,1.0000000000000036,YJL063C;YKR085C;YIL051C;YJL116C;YBL080C
GO:1901575,organic substance catabolic process,1.0174731182795702,0.505,1.0000000000000104,YIL051C;YCL044C
GO:0009150,purine ribonucleotide metabolic process,1.1538461538461537,0.0,0.9999999999999863,YJL116C
GO:0006807,nitrogen compound metabolic process,1.0015508684863523,0.296,1.000000000000013,YDR339C;YJL063C;YFL039C;YKR085C;YCL044C;YIL051C;YJL116C;YOR060C;YBL080C
GO:0044249,cellular biosynthetic process,1.0051177072671438,0.814,1.0000000000000187,YJL063C;YKR085C;YIL051C;YJL116C;YBL080C
GO:0008152,metabolic process,1.001305823974928,0.791,1.000000000000009,YDR339C;YJL063C;YFL039C;YKR085C;YCL044C;YIL051C;YJL116C;YOR060C;YBL080C
GO:0055086,nucleobase-containing small molecule metabolic process,1.0686274509803921,0.0,0.9999999999999815,YJL116C
GO:0006753,nucleoside phosphate metabolic process,1.0809248554913296,0.719,1.000000000000025,YJL116C
GO:0046034,ATP metabolic process,1.424242424242424,0.0,0.9999999999999954,YJL116C
GO:0006754,ATP biosynthetic process,8.0,0.0,1.0,YJL116C
GO:0006766,vitamin metabolic process,1.297872340425532,0.0,0.9999999999999858,
GO:0006767,water-soluble vitamin metabolic process,1.297872340425532,0.0,0.9999999999999858,
GO:0042723,thiamine-containing compound metabolic process,8.0,0.0,1.0,
GO:0090407,organophosphate biosynthetic process,1.0557768924302788,0.0,1.0000000000000207,YJL116C
GO:0051234,establishment of localization,1.0084865629420083,0.341,0.999999999999991,YNR035C;YFL039C;YLR370C
GO:0006810,transport,1.0094959824689553,0.028,1.000000000000015,YNR035C;YFL039C
GO:0071705,nitrogen compound transport,1.0166468489892988,0.207,0.9999999999999747,YFL039C
GO:0071702,organic substance transport,1.0148777895855468,0.573,1.0000000000000127,YFL039C
GO:0015031,protein transport,1.0226171243941846,0.398,1.000000000000009,YFL039C
GO:0008104,protein localization,1.0158730158730158,0.0,1.0000000000000033,YNR035C;YFL039C
GO:0016192,vesicle-mediated transport,1.0292134831460682,0.094,0.9999999999999746,YNR035C;YFL039C
GO:0032940,secretion by cell,1.23728813559322,0.464,1.0000000000000102,YFL039C
GO:0006897,endocytosis,1.104,0.0,0.9999999999999815,YNR035C;YFL039C
GO:0006898,receptor-mediated endocytosis,2.2727272727272725,0.0,0.999999999999998,YNR035C
GO:0050896,response to stimulus,1.011317704122878,0.356,0.9999999999999849,YFL039C
GO:0033554,cellular response to stress,1.0190476190476199,0.281,1.0000000000000222,YFL039C
GO:0006996,organelle organization,1.0060240963855422,0.02,0.9999999999999976,YKL013C;YFL039C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0097435,supramolecular fiber organization,1.095238095238095,0.699,1.0000000000000135,YKL013C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0030036,actin cytoskeleton organization,1.0633802816901408,0.073,1.0000000000000175,YKL013C;YFL039C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0007015,actin filament organization,1.1369863013698631,0.521,0.9999999999999758,YKL013C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0032505,reproduction of a single-celled organism,1.073684210526316,0.0,1.0000000000000169,YFL039C
GO:0007163,establishment or maintenance of cell polarity,1.132075471698114,0.404,0.999999999999992,YFL039C
GO:0051716,cellular response to stimulus,1.0124666073018693,0.401,0.9999999999999798,YFL039C
GO:0045229,external encapsulating structure organization,1.0553191489361702,0.074,0.9999999999999939,YJL116C;YFL039C
GO:0030832,regulation of actin filament length,4.666666666666666,0.525,1.0000000000000033,YLR370C;YNR035C;YKL013C;YBR234C
GO:0110053,regulation of actin filament organization,1.3793103448275867,0.004,0.9999999999999952,YLR370C;YNR035C;YKL013C;YBR234C
GO:0008154,actin polymerization or depolymerization,2.8333333333333326,0.801,0.9999999999999927,YLR370C;YNR035C;YKL013C;YBR234C
GO:0008064,regulation of actin polymerization or depolymerization,4.666666666666666,0.519,1.0000000000000033,YLR370C;YNR035C;YKL013C;YBR234C
GO:0070727,cellular macromolecule localization,1.0154946364719912,0.2,0.9999999999999937,YNR035C;YFL039C
GO:0031032,actomyosin structure organization,2.0769230769230766,0.0,0.9999999999999942,YFL039C
GO:0032535,regulation of cellular component size,1.3142857142857136,0.877,1.000000000000015,YLR370C;YNR035C;YKL013C;YBR234C
GO:0018205,peptidyl-lysine modification,1.1129032258064515,0.0,0.9999999999999996,YFL039C
GO:0034654,nucleobase-containing compound biosynthetic process,1.0154696132596686,0.406,0.9999999999999812,YJL116C
GO:0009056,catabolic process,1.013306038894575,0.34,0.9999999999999842,YIL051C;YCL044C
GO:0045333,cellular respiration,1.1521739130434783,0.721,0.9999999999999875,YJL116C
GO:0009082,branched-chain amino acid biosynthetic process,15.0,0.0,1.0,YIL051C
GO:0009097,isoleucine biosynthetic process,-2.5,0.276,-0.9350163627863487,
GO:1901293,nucleoside phosphate biosynthetic process,1.1359223300970873,0.0,1.0000000000000089,YJL116C
GO:0009141,nucleoside triphosphate metabolic process,1.2692307692307692,0.0,1.0000000000000235,YJL116C
GO:0009142,nucleoside triphosphate biosynthetic process,1.875,0.0,1.0,YJL116C
GO:0009144,purine nucleoside triphosphate metabolic process,1.3499999999999999,0.066,1.000000000000007,YJL116C
GO:0009145,purine nucleoside triphosphate biosynthetic process,3.333333333333333,0.0,0.999999999999988,YJL116C
GO:0009259,ribonucleotide metabolic process,1.130841121495327,0.073,1.0000000000000022,YJL116C
GO:0009260,ribonucleotide biosynthetic process,1.2413793103448276,0.0,0.9999999999999746,YJL116C
GO:0009199,ribonucleoside triphosphate metabolic process,1.3181818181818181,0.0,0.9999999999999967,YJL116C
GO:0009201,ribonucleoside triphosphate biosynthetic process,2.1666666666666665,0.207,0.9999999999999906,YJL116C
GO:0009205,purine ribonucleoside triphosphate metabolic process,1.368421052631579,0.859,0.9999999999999893,YJL116C
GO:0019693,ribose phosphate metabolic process,1.1228070175438596,0.786,0.9999999999999889,YJL116C
GO:0071852,fungal-type cell wall organization or biogenesis,1.0599078341013823,0.85,0.9999999999999847,YJL116C;YFL039C
GO:0009272,fungal-type cell wall biogenesis,1.1999999999999995,0.54,0.9999999999999808,YFL039C
GO:0035592,establishment of protein localization to extracellular region,2.9999999999999996,0.0,1.0,YFL039C
GO:0036260,RNA capping,1.4117647058823528,0.059,0.9999999999999905,YDR339C
GO:0071555,cell wall organization,1.0553191489361702,0.049,0.9999999999999939,YJL116C;YFL039C
GO:0019222,regulation of metabolic process,1.0118543607112613,0.191,1.0000000000000067,YOR060C
GO:0044085,cellular component biogenesis,1.0068545316070068,0.104,0.9999999999999901,YDR339C;YKL013C;YFL039C;YLR370C;YBR234C;YNR035C
GO:0051171,regulation of nitrogen compound metabolic process,1.0140562248995983,0.666,0.9999999999999941,YOR060C
GO:0051130,positive regulation of cellular component organization,1.1129032258064515,0.0,0.9999999999999996,YBR234C
GO:0010638,positive regulation of organelle organization,1.1772151898734184,0.132,1.0000000000000016,YBR234C
GO:0044087,regulation of cellular component biogenesis,1.06508875739645,0.001,1.0000000000000053,YLR370C;YNR035C;YKL013C;YBR234C
GO:0032989,cellular component morphogenesis,1.2222222222222219,0.251,1.000000000000022,YFL039C
GO:0045184,establishment of protein localization,1.0218749999999992,0.524,0.9999999999999837,YFL039C
GO:0015986,proton motive force-driven ATP synthesis,8.0,0.0,1.0,YJL116C
GO:0071840,cellular component organization or biogenesis,1.002952340784479,0.588,0.9999999999999759,YDR339C;YKL013C;YFL039C;YLR370C;YBR234C;YJL116C;YJR065C;YNR035C
GO:0018393,internal peptidyl-lysine acetylation,1.2692307692307687,0.42,1.000000000000023,YFL039C
GO:0016573,histone acetylation,1.274509803921568,0.404,1.0000000000000127,YFL039C
GO:0018394,peptidyl-lysine acetylation,1.2692307692307687,0.404,1.000000000000023,YFL039C
GO:0018193,peptidyl-amino acid modification,1.065420560747664,0.412,1.0000000000000198,YFL039C
GO:0090305,nucleic acid phosphodiester bond hydrolysis,1.0538461538461539,0.0,0.9999999999999932,YDR339C
GO:0022613,ribonucleoprotein complex biogenesis,1.0293501048218028,0.073,1.0000000000000095,YDR339C
GO:0030029,actin filament-based process,1.0624999999999998,0.315,0.9999999999999998,YKL013C;YFL039C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0030041,actin filament polymerization,3.75,0.122,1.0,YLR370C;YNR035C;YKL013C;YBR234C
GO:0090329,regulation of DNA-templated DNA replication,1.4516129032258063,0.0,0.9999999999999826,YOR060C
GO:0030174,regulation of DNA-templated DNA replication initiation,2.999999999999999,0.523,0.9999999999999999,YOR060C
GO:0043934,sporulation,1.089171974522293,0.0,1.0000000000000049,YFL039C
GO:0030435,sporulation resulting in formation of a cellular spore,1.091503267973856,0.061,1.0000000000000062,YFL039C
GO:0043935,sexual sporulation resulting in formation of a cellular spore,1.133333333333333,0.314,0.9999999999999964,YFL039C
GO:0030437,ascospore formation,1.1400000000000001,0.0,1.0000000000000007,YFL039C
GO:0042244,spore wall assembly,1.424242424242424,0.0,0.9999999999999954,YFL039C
GO:0071940,fungal-type cell wall assembly,1.4117647058823521,0.461,0.9999999999999899,YFL039C
GO:0070591,ascospore wall biogenesis,1.424242424242424,0.0,0.9999999999999954,YFL039C
GO:0030476,ascospore wall assembly,1.424242424242424,0.0,0.9999999999999954,YFL039C
GO:0032956,regulation of actin cytoskeleton organization,1.2115384615384612,0.759,0.9999999999999916,YLR370C;YNR035C;YKL013C;YBR234C
GO:0030833,regulation of actin filament polymerization,4.666666666666666,0.518,1.0000000000000033,YLR370C;YNR035C;YKL013C;YBR234C
GO:0051495,positive regulation of cytoskeleton organization,1.451612903225806,0.68,0.9999999999999825,YBR234C
GO:1902905,positive regulation of supramolecular fiber organization,1.875,0.0,1.0,YBR234C
GO:0030865,cortical cytoskeleton organization,1.1914893617021272,0.962,0.9999999999999964,YKL013C;YFL039C;YLR370C;YBR234C;YJR065C;YNR035C
GO:1902903,regulation of supramolecular fiber organization,1.234042553191489,0.763,1.0000000000000033,YLR370C;YNR035C;YKL013C;YBR234C
GO:0065007,biological regulation,1.00491883915396,0.003,0.9999999999999735,YKL013C;YLR370C;YBR234C;YOR060C;YNR035C
GO:0051179,localization,1.007448789571695,0.193,1.0000000000000258,YNR035C;YFL039C;YLR370C
GO:0031505,fungal-type cell wall organization,1.0710382513661203,0.0,1.0000000000000129,YJL116C;YFL039C
GO:1902410,mitotic cytokinetic process,1.9999999999999996,0.329,0.9999999999999999,YFL039C
GO:0090066,regulation of anatomical structure size,1.3142857142857136,0.88,1.000000000000015,YLR370C;YNR035C;YKL013C;YBR234C
GO:0032543,mitochondrial translation,1.0948275862068964,0.214,1.0000000000000067,YIL051C;YKR085C;YBL080C;YJL063C
GO:0034599,cellular response to oxidative stress,1.1428571428571421,0.461,1.0000000000000109,YFL039C
GO:0140352,export from cell,1.184210526315789,0.393,0.9999999999999788,YFL039C
GO:0032970,regulation of actin filament-based process,1.2115384615384612,0.767,0.9999999999999916,YLR370C;YNR035C;YKL013C;YBR234C
GO:0051640,organelle localization,1.072164948453608,0.525,0.9999999999999878,YLR370C
GO:0051321,meiotic cell cycle,1.0444444444444443,0.241,0.9999999999999863,YFL039C
GO:0034293,sexual sporulation,1.133333333333333,0.334,0.9999999999999964,YFL039C
GO:0045010,actin nucleation,1.8333333333333328,0.776,1.0000000000000135,YKL013C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0034314,Arp2/3 complex-mediated actin nucleation,2.428571428571428,0.476,1.0000000000000064,YKL013C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0051125,regulation of actin nucleation,5.666666666666665,0.392,0.9999999999999927,YBR234C
GO:0034315,regulation of Arp2/3 complex-mediated actin nucleation,15.0,0.0,1.0,YBR234C
GO:0062197,cellular response to chemical stress,1.1076923076923075,0.205,0.9999999999999838,YFL039C
GO:0071692,protein localization to extracellular region,2.9999999999999996,0.0,1.0,YFL039C
GO:0070726,cell wall assembly,1.3999999999999992,0.455,0.9999999999999903,YFL039C
GO:0070590,spore wall biogenesis,1.424242424242424,0.0,0.9999999999999954,YFL039C
GO:0043038,amino acid activation,1.538461538461539,0.484,1.00000000000002,YBL080C
GO:1990778,protein localization to cell periphery,1.7000000000000004,0.206,0.999999999999983,YNR035C
GO:0051641,cellular localization,1.0119926199261988,0.784,0.9999999999999866,YNR035C;YFL039C
GO:0051646,mitochondrion localization,1.875,0.0,1.0,YLR370C
