Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YCL040W,-1,284.5314527824521,14911.71206272021,0.0,0.0,0.0002918004085205719
YMR105C,-1,279.4908554702997,14439.50015789643,0.0,0.0,0.0005836008170411438
YOR185C,0,265.7178896740079,14730.784304186702,0.0,0.0,0.0005836008170411438
YBR072W,-1,261.82130244374275,16316.605494942516,0.0,0.0,0.0008754012255617158
YBL075C,-1,254.55527287721634,13928.712356261909,0.0,0.0,0.0011672016340822876
YLR178C,0,254.38737240433693,15325.969041898847,0.0,0.0,0.0011672016340822876
YOL084W,0,248.69280272722244,10827.435741577297,0.0,0.0,0.0011672016340822876
YPR160W,0,247.51803220063448,12125.116609722376,0.0,0.0,0.0011672016340822876
YOR348C,-1,240.3405719846487,10984.993731658906,0.0,0.0,0.0014590020426028597
YML075C,-1,220.5385703369975,6113.60100889951,0.0,0.0,0.0017508024511234317
YDR171W,-1,213.32875356078148,9952.862541355193,0.0,0.0,0.0020426028596440037
YHR104W,1,211.7622390538454,13927.3917285949,0.125,0.012987012987012988,0.0020426028596440037
YOR340C,-1,211.15557311475277,3639.253817450255,0.1111111111111111,0.012987012987012988,0.0023344032681645753
YFL014W,1,207.9697587788105,13539.210699513555,0.2,0.025974025974025976,0.0023344032681645753
YDL223C,-1,207.12894934415817,11651.31082277,0.18181818181818182,0.025974025974025976,0.0026262036766851473
YOL082W,-1,204.8400547876954,8882.90434030816,0.16666666666666666,0.025974025974025976,0.0029180040852057193
YJL048C,-1,202.12775252759457,10628.890916705132,0.15384615384615385,0.025974025974025976,0.0032098044937262913
YOR173W,-1,202.01174202561378,11143.581639945507,0.14285714285714285,0.025974025974025976,0.0035016049022468633
YML054C,0,199.94727790355682,11085.215175110847,0.14285714285714285,0.025974025974025976,0.0035016049022468633
YGL055W,-1,199.64786254614592,6658.045542445034,0.13333333333333333,0.025974025974025976,0.003793405310767435
YLL041C,-1,196.80555035173893,9147.279189951718,0.125,0.025974025974025976,0.004085205719288007
YER150W,0,196.47026804462075,11453.8933124803,0.125,0.025974025974025976,0.004085205719288007
YDL021W,0,196.40957474708557,10878.55667823553,0.125,0.025974025974025976,0.004085205719288007
YPR149W,0,193.30542131513357,8616.98663526401,0.125,0.025974025974025976,0.004085205719288007
YLR258W,0,192.18572211265564,11190.376030027866,0.125,0.025974025974025976,0.004085205719288007
YML128C,-1,191.1965652704239,12371.77512812987,0.11764705882352941,0.025974025974025976,0.004377006127808579
