GO Term,AUC,Average Precision
GO:0000054,0.8892806232696452,0.2714026840101652
GO:0000278,0.7620516353487037,0.20027614495903254
GO:0000747,0.7423989079690814,0.19127311988378112
GO:0000902,0.6726302729499505,0.1538470950262113
GO:0000910,0.7260839095768857,0.17784021068093453
GO:0001403,0.6841859752193576,0.16153119422861276
GO:0003700,0.7105293175075191,0.1712363355621571
GO:0004518,0.8404031818562123,0.2420330919413404
GO:0005085,0.7634756475107022,0.1944428554316333
GO:0006260,0.8487949105680349,0.246803382394666
GO:0006281,0.7785439093470552,0.19415983759679578
GO:0006310,0.7450490911285583,0.18884694856540724
GO:0006325,0.7772875455516834,0.20365699964016676
GO:0006352,0.8492911840904719,0.23366857305177696
GO:0006353,0.6590248435331684,0.15083954239275024
GO:0006360,0.8754933643918799,0.25437166193514216
GO:0006364,0.9437264554732246,0.30178092442114246
GO:0006366,0.7342334541325796,0.18150045510991053
GO:0006383,0.7075617060150908,0.1850678251439252
GO:0006397,0.8280419093138136,0.23246805372292345
GO:0006401,0.7663079995644724,0.21262129865248094
GO:0006413,0.7641857997642151,0.2297660205817167
GO:0006414,0.7397547637165471,0.22829583282773191
GO:0006418,0.80943413696415,0.2282260226525062
GO:0006457,0.7201448193288683,0.19876784027503294
GO:0006468,0.7132608177770797,0.17249760794165458
GO:0006470,0.6036652266082164,0.14143818096616567
GO:0006486,0.8531866371934408,0.24781656773117455
GO:0006497,0.7145977200312955,0.18341251069221365
GO:0006605,0.7359072737828934,0.18265104056352918
GO:0006629,0.7381514558518326,0.189126195077869
GO:0006766,0.7403582721485185,0.1951439105617729
GO:0006811,0.7994039107137465,0.21790553177757696
GO:0006865,0.7362496936186523,0.18398425856040457
GO:0006869,0.6003993553076903,0.12275912026008526
GO:0006873,0.714875545322186,0.17865768734230236
GO:0006887,0.7858964797970774,0.2040388326047722
GO:0006897,0.8185221818134887,0.22805475159395824
GO:0006970,0.7233691812949784,0.17764773097837513
GO:0006979,0.7995247289372122,0.2217844632660801
GO:0006997,0.7980545080942183,0.22238976940477923
GO:0007005,0.7502092735836473,0.19705693638324737
GO:0007010,0.7386191824470139,0.17907631384174932
GO:0007031,0.7800160595989005,0.21191417213163993
GO:0007033,0.7425541821741182,0.1908241100060669
GO:0007059,0.8230845457159343,0.22636948657577688
GO:0007114,0.7636697258720365,0.2029736344245347
GO:0007124,0.6528105454122627,0.13979927551407706
GO:0008033,0.7037486829856163,0.18903405019453356
GO:0008135,0.8209115008101867,0.24923631083766473
GO:0008213,0.7623170569805162,0.20305638352642844
GO:0008380,0.813669637191501,0.22414055017110976
GO:0008643,0.7562984788624361,0.20760633515350005
GO:0009408,0.7695253274638142,0.20521434679831058
GO:0009451,0.903474911418627,0.28159320705790414
GO:0010324,0.8071416365903146,0.22592560162598438
GO:0015931,0.7882212726785908,0.21869436657293276
GO:0016050,0.5674645839506512,0.11589512030978302
GO:0016197,0.8816493348322408,0.2589736792846447
GO:0016570,0.7946400911614553,0.21247634139182892
GO:0018193,0.6432221604973547,0.1422875649740785
GO:0032196,0.9424350899723464,0.29837361454015426
GO:0032200,0.6673184548039307,0.1627544490783052
GO:0032787,0.8058600003371883,0.23345647689632393
GO:0042221,0.7065719089491017,0.17256525989215482
GO:0042255,0.9428843097088425,0.3002856445722369
GO:0042273,0.94485535539808,0.3015815541921454
GO:0042274,0.9165779306031354,0.28389139842617883
GO:0042594,0.6939190787915016,0.17667695465074343
GO:0043543,0.6680271666162783,0.1527371219304301
GO:0045333,0.8036183638797586,0.24507401761615819
GO:0048193,0.836767638994349,0.2300586091130972
GO:0048284,0.5677180056311029,0.11721920990969711
GO:0048308,0.7377790391640245,0.19129538896422293
GO:0051049,0.5515572419060827,0.1164617229140166
GO:0051052,0.6767862270299942,0.1462188306373435
GO:0051321,0.7943697282893435,0.2214552636241371
GO:0051603,0.8279867293951207,0.24000233635983684
GO:0051726,0.7353941823053279,0.17949245388060808
