Used Modern Datasets
Initialized Expression Datasets
Initialized Localization Data
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Modern_phys_gene/Original_glpx_b_466x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/Modern_phys_gene/Original_glpx_b_466x25000x53_lr0.01_batch50_Test_/
Time for 100 Batches: 1.4504180788993835
100 Batch Cumulative Loss: 23.086658583430108
Time for 100 Batches: 1.4597178419431052
100 Batch Cumulative Loss: 16.289694883002085
Time for 100 Batches: 1.4390198469161988
100 Batch Cumulative Loss: 19.426287160720676
Time for 100 Batches: 1.4491081396738688
100 Batch Cumulative Loss: 19.95779145177221
Time for 100 Batches: 1.461719234784444
100 Batch Cumulative Loss: 18.660860340867657
Time for 100 Batches: 1.4401443481445313
100 Batch Cumulative Loss: 19.3952823728323
Time for 100 Batches: 1.4621886730194091
100 Batch Cumulative Loss: 19.350281736580655
Time for 100 Batches: 1.4393819332122804
100 Batch Cumulative Loss: 18.752825987816323
Time for 100 Batches: 1.4676774859428405
100 Batch Cumulative Loss: 21.40276468889533
Time for 100 Batches: 1.4412242452303567
100 Batch Cumulative Loss: 19.186579624773003
Time for 100 Batches: 1.4419491688410442
100 Batch Cumulative Loss: 19.2361332323635
Time for 100 Batches: 1.4560560226440429
100 Batch Cumulative Loss: 18.78435731306672
Time for 100 Batches: 1.4405555287996927
100 Batch Cumulative Loss: 20.787182488536928
Time for 100 Batches: 1.4598462899525961
100 Batch Cumulative Loss: 18.545548865455203
Time for 100 Batches: 1.4790042320887247
100 Batch Cumulative Loss: 17.96609272575006
Time for 100 Batches: 1.4323381582895915
100 Batch Cumulative Loss: 20.008109061978757
Time for 100 Batches: 1.4647833506266277
100 Batch Cumulative Loss: 17.66825227215304
Time for 100 Batches: 1.44582200050354
100 Batch Cumulative Loss: 19.099811083637178
Time for 100 Batches: 1.475627104441325
100 Batch Cumulative Loss: 19.35423513292335
Time for 100 Batches: 1.4571639855702718
100 Batch Cumulative Loss: 32.60684356881984
Time for 100 Batches: 1.4503403464953104
100 Batch Cumulative Loss: 19.222432509064674
Time for 100 Batches: 1.4494192083676656
100 Batch Cumulative Loss: 18.211102935485542
Time for 100 Batches: 1.4489845116933187
100 Batch Cumulative Loss: 19.225890236761188
Time for 100 Batches: 1.4550016403198243
100 Batch Cumulative Loss: 20.836290784180164
Time for 100 Batches: 1.465098782380422
100 Batch Cumulative Loss: 19.939792997951372
Time for 100 Batches: 1.4676976243654887
100 Batch Cumulative Loss: 21.7285720216081
Time for 100 Batches: 1.448142929871877
100 Batch Cumulative Loss: 17.92966382042505
Time for 100 Batches: 1.4468126932779948
100 Batch Cumulative Loss: 18.52110677177552
Time for 100 Batches: 1.4572057763735453
100 Batch Cumulative Loss: 19.530753845370782
Time for 100 Batches: 1.4626137693723043
100 Batch Cumulative Loss: 18.54176048746234
Time for 100 Batches: 1.4480987707773845
100 Batch Cumulative Loss: 18.379935269011185
Time for 100 Batches: 1.4507258613904317
100 Batch Cumulative Loss: 17.575323313008994
Time for 100 Batches: 1.4427234689394632
100 Batch Cumulative Loss: 17.9334078875836
Time for 100 Batches: 1.4424194693565369
100 Batch Cumulative Loss: 20.8369308647234
Time for 100 Batches: 1.4412562052408855
100 Batch Cumulative Loss: 19.62169409764465
Time for 100 Batches: 1.4514861226081848
100 Batch Cumulative Loss: 15.918710246682167
Time for 100 Batches: 1.4475391387939454
100 Batch Cumulative Loss: 17.367453182814643
Time for 100 Batches: 1.454240878423055
100 Batch Cumulative Loss: 17.005614131219772
Time for 100 Batches: 1.442038094997406
100 Batch Cumulative Loss: 20.21066831611097
Time for 100 Batches: 1.4277284860610961
100 Batch Cumulative Loss: 15.513338634191314
Time for 100 Batches: 1.4692247311274211
100 Batch Cumulative Loss: 20.059526092838496
Time for 100 Batches: 1.4510815103848775
100 Batch Cumulative Loss: 16.607461482053623
Time for 100 Batches: 1.4566884954770407
100 Batch Cumulative Loss: 17.559816010551003
Time for 100 Batches: 1.4500895738601685
100 Batch Cumulative Loss: 18.825387801975012
Time for 100 Batches: 1.4526587883631388
100 Batch Cumulative Loss: 16.99465159620013
Time for 100 Batches: 1.4553127964337667
100 Batch Cumulative Loss: 15.285003434401006
Time for 100 Batches: 1.4514916737874348
100 Batch Cumulative Loss: 57.81600728984631
Time for 100 Batches: 1.4785355965296427
100 Batch Cumulative Loss: 19.293847190216184
Time for 100 Batches: 1.464968729019165
100 Batch Cumulative Loss: 18.228300607413985
Time for 100 Batches: 1.454223906993866
100 Batch Cumulative Loss: 19.486538111930713
