GO Term,AUC,Average Precision
GO:0000054,0.8973189512751806,0.27112302321072157
GO:0000278,0.8540588205223586,0.24726729365573688
GO:0000747,0.74497500131166,0.18503850898823954
GO:0001403,0.6192937938891122,0.12899655647046013
GO:0006260,0.80753999948981,0.22384152819554914
GO:0006281,0.8005929089921675,0.2140741333202882
GO:0006310,0.8500337272485908,0.23910064945573156
GO:0006325,0.8163661819979633,0.21577353461764076
GO:0006352,0.8058163624886339,0.21315018880773676
GO:0006353,0.6275015491092512,0.12603636631513931
GO:0006360,0.8253943645094669,0.21631254892254417
GO:0006364,0.9405744558262575,0.2990439279059117
GO:0006366,0.775225273086573,0.20216690067811446
GO:0006383,0.6752483951394881,0.15643579171304087
GO:0006397,0.8340660021866947,0.2268491699113087
GO:0006401,0.7047748178929112,0.16497526468675244
GO:0006413,0.7720676127474985,0.2276475331043182
GO:0006414,0.8598421752770347,0.25613013727195333
GO:0006418,0.7658638904825592,0.195559228439469
GO:0006457,0.7780736353885996,0.21111016069894487
GO:0006468,0.7226199996591102,0.17480586227232758
GO:0006470,0.4408874371713109,0.09255587009991631
GO:0006486,0.8593408172077774,0.2570092579146678
GO:0006629,0.8245939078201138,0.22866481555456464
GO:0006811,0.8563703634587899,0.24746807214753194
GO:0006865,0.8059424672624004,0.21707660495972703
GO:0006869,0.6281133268338335,0.12897349849253956
GO:0006873,0.7927747277458177,0.20073070849816907
GO:0006887,0.5471044735052174,0.105936404177714
GO:0006897,0.7918007296554808,0.20310976990786467
GO:0006970,0.630354641552804,0.13442333535293582
GO:0006979,0.7676101819699821,0.20312750278887423
GO:0007005,0.8010868178377119,0.22970800730992447
GO:0007010,0.7924542743031422,0.2059013416042382
GO:0007031,0.7032945698676195,0.16442663749531117
GO:0007033,0.6317090922236253,0.13714385001293639
GO:0007059,0.8512483648646475,0.24309914196214893
GO:0007124,0.6804072741255778,0.15440697618573904
GO:0008033,0.8516573625600325,0.24424655625833708
GO:0008380,0.8481629096234788,0.23308546531132676
GO:0008643,0.7614401005206322,0.21401802518536964
GO:0009408,0.6167083396741768,0.14803877442866772
GO:0009451,0.8672649056814632,0.2544246697195552
GO:0016197,0.7733195439575833,0.19414002696695654
GO:0032196,0.933580544671012,0.2959881204976277
GO:0042273,0.9520500045487847,0.30622211105782876
GO:0042274,0.9455915477717486,0.30080968569557776
GO:0045333,0.7898552726007342,0.2340144280134277
GO:0051321,0.7815285447861005,0.21197375802763485
GO:0051603,0.8640932732923485,0.2598317029882561
GO:0051726,0.8009709096104224,0.2124947130138224
