GO Term,AUC,Average Precision
GO:0000054,0.9151365866782302,0.2909949776460865
GO:0000278,0.6034090033686477,0.122203012321483
GO:0000747,0.638550595469921,0.1280130811062726
GO:0001403,0.7013164118973284,0.1666494666873054
GO:0002181,0.9563636364584619,0.3023630596020005
GO:0006260,0.6629323600135553,0.13982908010956915
GO:0006281,0.6345366130227604,0.12797139721634712
GO:0006310,0.5699343834101561,0.11670845974778588
GO:0006325,0.6980852279376705,0.1467496411543001
GO:0006352,0.8061024297534976,0.2127713191008026
GO:0006353,0.8738438502439348,0.2596540969892873
GO:0006360,0.7003767915872476,0.16344307440383868
GO:0006364,0.8823886383514407,0.2720976002263752
GO:0006366,0.5934485874893726,0.1204130435809493
GO:0006383,0.7316704214445463,0.1741599894809452
GO:0006397,0.6855430203527847,0.14545184625211088
GO:0006401,0.7148925703652732,0.15335572777756235
GO:0006413,0.8859657280542994,0.26384607143429195
GO:0006414,0.9211421164779083,0.28557907687200534
GO:0006418,0.9301662783251181,0.29328749944803617
GO:0006457,0.7675063907710454,0.1894632458537817
GO:0006468,0.6107043215887282,0.129413110233166
GO:0006470,0.8015295309223998,0.20239349153729658
GO:0006486,0.834505262014636,0.22701889676126566
GO:0006629,0.6152320112046225,0.12739259150082416
GO:0006811,0.6635021858498009,0.1408824029788375
GO:0006865,0.812275089470024,0.22787144787880506
GO:0006869,0.7180277289659485,0.1773602276737448
GO:0006873,0.6382719146645077,0.13091044565087015
GO:0006887,0.8035096377643693,0.21778268460184336
GO:0006897,0.7258488771793518,0.16258279885690322
GO:0006970,0.6622850550808309,0.13978822527622634
GO:0006979,0.7755532497962174,0.19242687292261557
GO:0007005,0.6853890331007477,0.15043575942719525
GO:0007010,0.6344879125923087,0.1315903909274123
GO:0007031,0.8734569985567232,0.25467919796571004
GO:0007033,0.6966834977142068,0.15625218831883236
GO:0007059,0.700432848688215,0.15351677388968793
GO:0007124,0.7030882757976333,0.16533766459741375
GO:0008033,0.7305784468237649,0.1691987204050476
GO:0008380,0.7286464644319124,0.16598438211801378
GO:0008643,0.8366195266093196,0.22504852531309227
GO:0009408,0.8514080830264102,0.2573677123857267
GO:0009451,0.747751366895179,0.17709942981803958
GO:0016197,0.885669611592626,0.25908630050529624
GO:0032196,0.7701051454388917,0.18927908478677272
GO:0032543,0.9507110650444572,0.30546797053448177
GO:0042273,0.9470877313035942,0.30030138397894124
GO:0042274,0.9095603824152547,0.28736593140864913
GO:0045333,0.7923572213193614,0.2277579393847422
GO:0051321,0.6706229822606229,0.1446663720512932
GO:0051603,0.7299057941949841,0.1705490624335679
GO:0051726,0.616694004650143,0.12292152949083936
