Used 2009 Datasets
Initialized Expression Datasets
Intersection: 0
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Train_/
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Test_/
Time for 100 Batches: 0.3996548255284627
100 Batch Cumulative Loss: 304.35457468032837
Time for 100 Batches: 0.40800289312998456
100 Batch Cumulative Loss: 302.19845604896545
Time for 100 Batches: 0.40813161532084147
100 Batch Cumulative Loss: 298.2644011974335
Time for 100 Batches: 0.4049825390179952
100 Batch Cumulative Loss: 296.7273645401001
Time for 100 Batches: 0.4041107177734375
100 Batch Cumulative Loss: 297.0538077354431
Time for 100 Batches: 0.40638251304626466
100 Batch Cumulative Loss: 305.4963593482971
Time for 100 Batches: 0.4059209704399109
100 Batch Cumulative Loss: 302.7751877307892
Time for 100 Batches: 0.40553149382273357
100 Batch Cumulative Loss: 297.294207572937
Time for 100 Batches: 0.40227392117182414
100 Batch Cumulative Loss: 301.3964772224426
Time for 100 Batches: 0.40200300216674806
100 Batch Cumulative Loss: 295.7054994106293
Time for 100 Batches: 0.40868165493011477
100 Batch Cumulative Loss: 297.12575125694275
Time for 100 Batches: 0.4067152659098307
100 Batch Cumulative Loss: 297.2640450000763
Time for 100 Batches: 0.40697327852249143
100 Batch Cumulative Loss: 295.1454849243164
Time for 100 Batches: 0.4086314479509989
100 Batch Cumulative Loss: 298.75367879867554
Time for 100 Batches: 0.4059989809989929
100 Batch Cumulative Loss: 296.9436032772064
Time for 100 Batches: 0.4077039837837219
100 Batch Cumulative Loss: 295.9779682159424
Time for 100 Batches: 0.4019556681315104
100 Batch Cumulative Loss: 296.3758454322815
Time for 100 Batches: 0.40491824547449745
100 Batch Cumulative Loss: 298.8352327346802
Time for 100 Batches: 0.40754781166712445
100 Batch Cumulative Loss: 299.46575951576233
Time for 100 Batches: 0.40111221075057985
100 Batch Cumulative Loss: 298.83983969688416
Time for 100 Batches: 0.4019115209579468
100 Batch Cumulative Loss: 295.62481927871704
Time for 100 Batches: 0.4002347985903422
100 Batch Cumulative Loss: 300.8083064556122
Time for 100 Batches: 0.40321852763493854
100 Batch Cumulative Loss: 296.60711646080017
Time for 100 Batches: 0.4057411352793376
100 Batch Cumulative Loss: 296.5326437950134
Time for 100 Batches: 0.4081901669502258
100 Batch Cumulative Loss: 304.4211959838867
Time for 100 Batches: 0.4037394483884176
100 Batch Cumulative Loss: 293.876571893692
Time for 100 Batches: 0.40808308124542236
100 Batch Cumulative Loss: 297.072940826416
Time for 100 Batches: 0.4045447866121928
100 Batch Cumulative Loss: 298.75050711631775
Time for 100 Batches: 0.4034655451774597
100 Batch Cumulative Loss: 293.3798933029175
Time for 100 Batches: 0.40471019347508747
100 Batch Cumulative Loss: 302.1094958782196
Time for 100 Batches: 0.4029356082280477
100 Batch Cumulative Loss: 303.38078784942627
Time for 100 Batches: 0.4046302556991577
100 Batch Cumulative Loss: 300.294549703598
Time for 100 Batches: 0.4075474659601847
100 Batch Cumulative Loss: 296.9099831581116
Time for 100 Batches: 0.41281952857971194
100 Batch Cumulative Loss: 300.2466857433319
Time for 100 Batches: 0.4045859456062317
100 Batch Cumulative Loss: 294.2537522315979
Time for 100 Batches: 0.4077197114626567
100 Batch Cumulative Loss: 296.2217652797699
Time for 100 Batches: 0.4066939115524292
100 Batch Cumulative Loss: 297.2250039577484
Time for 100 Batches: 0.40271084705988563
100 Batch Cumulative Loss: 299.7658431529999
Time for 100 Batches: 0.4105343540509542
100 Batch Cumulative Loss: 298.1105134487152
Time for 100 Batches: 0.4106326023737589
100 Batch Cumulative Loss: 298.13998889923096
Time for 100 Batches: 0.40812133948008217
100 Batch Cumulative Loss: 296.4352021217346
Time for 100 Batches: 0.4041742960611979
100 Batch Cumulative Loss: 297.35836362838745
Time for 100 Batches: 0.40202738444010416
100 Batch Cumulative Loss: 299.85816955566406
Time for 100 Batches: 0.40531268119812014
100 Batch Cumulative Loss: 302.3760313987732
Time for 100 Batches: 0.3957894007364909
100 Batch Cumulative Loss: 294.56795620918274
Time for 100 Batches: 0.40011790990829466
