Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Test_MemMap_ReCalc2/ReCalc_NoReg_x_b_113x2000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/Test_MemMap_ReCalc2/ReCalc_NoReg_x_b_113x2000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 17.188544607162473
Time for 100 Batches: 0.574079406261444
100 Batch Cumulative Loss: 17.790374765396116
Time for 100 Batches: 0.5755465706189473
100 Batch Cumulative Loss: 21.063198709487914
Time for 100 Batches: 0.5755136132240295
100 Batch Cumulative Loss: 19.292967081069943
Time for 100 Batches: 0.5742981831232706
100 Batch Cumulative Loss: 16.607898688316347
Time for 100 Batches: 0.5858279585838317
100 Batch Cumulative Loss: 17.45703178405762
Time for 100 Batches: 0.5729934930801391
100 Batch Cumulative Loss: 19.039290695190438
Time for 100 Batches: 0.5769906679789225
100 Batch Cumulative Loss: 16.810127415657043
Time for 100 Batches: 0.573933748404185
100 Batch Cumulative Loss: 17.54163471698761
Time for 100 Batches: 0.5750750184059144
100 Batch Cumulative Loss: 19.769710907936098
Time for 100 Batches: 0.5721039772033691
100 Batch Cumulative Loss: 17.1278798866272
Time for 100 Batches: 0.5792636315027873
100 Batch Cumulative Loss: 20.845536804199217
Time for 100 Batches: 0.5781606833140055
100 Batch Cumulative Loss: 18.724806022644046
Time for 100 Batches: 0.5728296677271525
100 Batch Cumulative Loss: 19.387772312164294
Time for 100 Batches: 0.5745485941569011
100 Batch Cumulative Loss: 18.46780155658722
Time for 100 Batches: 0.576868744691213
100 Batch Cumulative Loss: 18.24798604011536
Time for 100 Batches: 0.5812654455502828
100 Batch Cumulative Loss: 18.78737902164459
Time for 100 Batches: 0.5783451437950134
100 Batch Cumulative Loss: 19.566403484344473
Time for 100 Batches: 0.5808866779009502
100 Batch Cumulative Loss: 18.8582885313034
Time for 100 Batches: 0.5761104782422384
100 Batch Cumulative Loss: 17.35130511760711
Time for 100 Batches: 0.5728179613749186
100 Batch Cumulative Loss: 20.274230523109438
Time for 100 Batches: 0.5809038559595744
100 Batch Cumulative Loss: 18.017412033081055
Time for 100 Batches: 0.5763940294583638
100 Batch Cumulative Loss: 24.15216973781587
Time for 100 Batches: 0.5718601624170939
100 Batch Cumulative Loss: 17.92831884384155
Time for 100 Batches: 0.5825178702672322
100 Batch Cumulative Loss: 16.696523652076717
Time for 100 Batches: 0.5797833482424418
100 Batch Cumulative Loss: 17.456047887802125
Time for 100 Batches: 0.5801632920900981
100 Batch Cumulative Loss: 18.122246170043947
Time for 100 Batches: 0.5693314234415691
100 Batch Cumulative Loss: 18.907518649101256
Time for 100 Batches: 0.5710911790529887
100 Batch Cumulative Loss: 17.234030814170833
Time for 100 Batches: 0.5758140246073405
100 Batch Cumulative Loss: 19.47171070575714
Time for 100 Batches: 0.5747443079948426
100 Batch Cumulative Loss: 18.879852056503303
Time for 100 Batches: 0.5732966542243958
100 Batch Cumulative Loss: 19.52718398094177
Time for 100 Batches: 0.5744293848673503
100 Batch Cumulative Loss: 19.790360274314878
Time for 100 Batches: 0.5757644494374593
100 Batch Cumulative Loss: 18.234167699813845
Time for 100 Batches: 0.575120993455251
100 Batch Cumulative Loss: 18.61710065841676
Time for 100 Batches: 0.5762841701507568
100 Batch Cumulative Loss: 18.627959108352666
Time for 100 Batches: 0.5771398186683655
100 Batch Cumulative Loss: 17.689966306686397
Time for 100 Batches: 0.5696781953175862
100 Batch Cumulative Loss: 16.536707220077513
Time for 100 Batches: 0.5734018325805664
100 Batch Cumulative Loss: 19.780266819000243
Time for 100 Batches: 0.5758482813835144
100 Batch Cumulative Loss: 18.671261816024774
Time for 100 Batches: 0.5761198997497559
100 Batch Cumulative Loss: 17.283009233474736
Time for 100 Batches: 0.5718538324038188
100 Batch Cumulative Loss: 19.143004589080817
Time for 100 Batches: 0.5731038689613343
100 Batch Cumulative Loss: 20.104295129776006
Time for 100 Batches: 0.5729737083117167
100 Batch Cumulative Loss: 19.008650517463693
Time for 100 Batches: 0.568733815352122
100 Batch Cumulative Loss: 18.586862854957584
Time for 100 Batches: 0.579022200902303
100 Batch Cumulative Loss: 14.507127189636227
Time for 100 Batches: 0.581311027208964
100 Batch Cumulative Loss: 18.355884919166563
Time for 100 Batches: 0.5731705824534098
100 Batch Cumulative Loss: 17.639359278678892
Time for 100 Batches: 0.5773210167884827
