Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJL184W,YER068W,1,0.06959793,1.0,0.0010000000474974513,0.0
YIL038C,YDR311W,1,-0.43481097,1.0,0.0020000000949949026,0.0
YNL199C,YML010W,1,-0.4433718,1.0,0.003000000026077032,0.0
YBL008W,YDL005C,1,-0.4493629,1.0,0.004000000189989805,0.0
YNL199C,YBL008W,1,-0.45362052,1.0,0.004999999888241291,0.0
YNL149C,YNR023W,0,-0.48766673,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YBR279W,YER022W,1,-0.49211758,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YOR038C,YNL216W,1,-0.50629115,0.875,0.007000000216066837,9.999999747378752e-05
YNL216W,YJL140W,1,-0.546299,0.8888888955116272,0.00800000037997961,9.999999747378752e-05
YER171W,YML015C,1,-0.5766746,0.8999999761581421,0.008999999612569809,9.999999747378752e-05
YDR485C,YGR270W,0,-0.62337816,0.8181818127632141,0.008999999612569809,0.00019999999494757503
YBR279W,YIL143C,1,-0.6452615,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YER114C,YFR029W,0,-0.6457187,0.7692307829856873,0.009999999776482582,0.0003000000142492354
YJL006C,YKR063C,0,-0.6707283,0.7142857313156128,0.009999999776482582,0.00039999998989515007
YDL175C,YML080W,0,-0.6721703,0.6666666865348816,0.009999999776482582,0.0005000000237487257
YER159C,YLR033W,1,-0.675823,0.6875,0.010999999940395355,0.0005000000237487257
YPL049C,YMR067C,0,-0.68026936,0.6470588445663452,0.010999999940395355,0.0006000000284984708
YOR038C,YLR223C,1,-0.72190124,0.6666666865348816,0.012000000104308128,0.0006000000284984708
YDL005C,YBR049C,1,-0.72257876,0.6842105388641357,0.013000000268220901,0.0006000000284984708
YDL005C,YDR167W,1,-0.74467075,0.699999988079071,0.014000000432133675,0.0006000000284984708
YNL161W,YIR010W,0,-0.7476969,0.6666666865348816,0.014000000432133675,0.000699999975040555
YNL103W,YGL013C,1,-0.75008583,0.6818181872367859,0.014999999664723873,0.000699999975040555
YLR418C,YKL110C,1,-0.75272584,0.695652186870575,0.01600000075995922,0.000699999975040555
YNL233W,YEL063C,0,-0.76476955,0.6666666865348816,0.01600000075995922,0.0007999999797903001
YFL024C,YNL199C,1,-0.7979604,0.6800000071525574,0.017000000923871994,0.0007999999797903001
YOR034C,YPR006C,0,-0.79859257,0.6538461446762085,0.017000000923871994,0.0008999999845400453
YCR052W,YDR145W,1,-0.80408096,0.6666666865348816,0.017999999225139618,0.0008999999845400453
YCL043C,YLR043C,0,-0.8064282,0.6428571343421936,0.017999999225139618,0.0010000000474974513
YIL103W,YDR207C,0,-0.81055737,0.6206896305084229,0.017999999225139618,0.0010999999940395355
YGL071W,YGR104C,1,-0.81190705,0.6333333253860474,0.01899999938905239,0.0010999999940395355
YHR118C,YDR485C,0,-0.842057,0.6129032373428345,0.01899999938905239,0.0012000000569969416
YNL078W,YPL085W,0,-0.8443947,0.59375,0.01899999938905239,0.0013000000035390258
YML093W,YOR106W,0,-0.85066247,0.5757575631141663,0.01899999938905239,0.00139999995008111
YPR070W,YDR311W,1,-0.8643551,0.5882353186607361,0.019999999552965164,0.00139999995008111
YLR033W,YOR179C,1,-0.86657023,0.6000000238418579,0.020999999716877937,0.00139999995008111
YBL008W,YMR039C,1,-0.87172806,0.6111111044883728,0.02199999988079071,0.00139999995008111
YMR037C,YLR033W,1,-0.8717569,0.6216216087341309,0.023000000044703484,0.00139999995008111
YDR208W,YKL113C,0,-0.8745886,0.6052631735801697,0.023000000044703484,0.001500000013038516
YBR167C,YJR068W,0,-0.8823092,0.5897436141967773,0.023000000044703484,0.0015999999595806003
YDR477W,YMR125W,0,-0.89311624,0.574999988079071,0.023000000044703484,0.0017000000225380063
YML010W,YCR081W,1,-0.8950052,0.5853658318519592,0.024000000208616257,0.0017000000225380063
YDR527W,YPL122C,1,-0.8956307,0.5952380895614624,0.02500000037252903,0.0017000000225380063
YOR147W,YLL036C,0,-0.90039265,0.5813953280448914,0.02500000037252903,0.0017999999690800905
