Gene A,Gene B,Score
YGR144W,YPL173W,2.153910623720543e-36
YGR144W,YMR225C,1.96328842470624e-24
YGR144W,YDR041W,1.8622135780750533e-21
YGR144W,YJL096W,1.1222804856431753e-25
YGR144W,YER050C,2.7898639480420165e-16
YGR144W,YNR022C,6.826516616242166e-30
YGR144W,YNR037C,2.291948792577915e-31
YGR144W,YPR100W,1.6190470431516786e-31
YGR144W,YKL155C,5.843307562457331e-30
YGR144W,YHR147C,1.1632048637728113e-25
YGR144W,YGL129C,5.559538336112331e-30
YGR144W,YDR237W,8.502686413030433e-35
YGR144W,YDR175C,1.831823275594021e-31
YGR144W,YJL063C,3.394575365818671e-24
YGR144W,YIL093C,1.1365646862620376e-29
YGR144W,YJR101W,1.6076703303332784e-35
YGR144W,YOL023W,6.417331884022848e-35
YGR144W,YGR215W,1.6881282583818597e-23
YGR144W,YPL040C,9.266286550582878e-31
YGR144W,YNR036C,1.0727843916952819e-18
YGR144W,YMR282C,8.96330588716239e-28
YGR144W,YPL013C,7.004102614090947e-28
YGR144W,YMR188C,1.8809728690664498e-32
YGR144W,YJR113C,4.6053486831543814e-29
YGR144W,YDR115W,2.5715032024897928e-26
YGR144W,YNL306W,8.906280064474055e-29
YGR144W,YDR337W,3.712195142062622e-21
YGR144W,YGR165W,3.934241542145636e-27
YGR144W,YBR251W,6.880629408789487e-24
YGR144W,YMR158W,7.674204901151209e-30
YGR144W,YBR146W,2.5885663640180804e-28
YGR144W,YPL183W-A,4.77519879107241e-13
YGR144W,YCR046C,7.310768472989964e-32
YGR144W,YCR071C,1.5945363806368095e-23
YGR144W,YHR011W,1.4491508466238735e-18
YGR144W,YPL104W,1.1503031542358606e-31
YGR144W,YNL137C,2.901599225673568e-37
YGR144W,YOL033W,9.022665581473829e-33
YGR144W,YPR047W,1.7877366747130368e-25
YGR144W,YBL080C,6.138146251713628e-28
YGR144W,YOR158W,3.6543856540439586e-32
YGR144W,YLR139C,4.348625716745226e-23
YGR144W,YDR347W,6.910599557885298e-29
YGR144W,YDL045W-A,3.4301123300699006e-16
YGR144W,YNL073W,1.0719785734144499e-33
