Gene,Label,Annos,Score,Background Score,Num pos pairs,Precision,Recall,False Positive Rate
YBR170C,-1,-/-,-140.58026337623596,-23464.880266278982,46,0.0,0.0,0.00020916126333403055
YCL052C,-1,-/-,-159.26137399673462,-24257.111563935876,46,0.0,0.0,0.0004183225266680611
YDR168W,-1,-/-,-160.63031205534935,-23955.373220443726,46,0.0,0.0,0.0006274837900020916
YDL045C,-1,-/-,-165.23927968740463,-24782.638444840908,46,0.0,0.0,0.0008366450533361222
YOR329C,-1,-/-,-165.49164932966232,-24089.55652964115,46,0.0,0.0,0.0010458063166701526
YMR097C,-1,-/-,-168.55602258443832,-24793.561923861504,46,0.0,0.0,0.0012549675800041832
YMR139W,-1,-/-,-169.14410883188248,-25324.97494184971,46,0.0,0.0,0.0014641288433382138
YNR007C,-1,-/-,-172.89998698234558,-27906.656655579805,46,0.0,0.0,0.0016732901066722444
YLR324W,-1,-/-,-173.944046407938,-26398.196850568056,46,0.0,0.0,0.0018824513700062748
YOR069W,1,+/+,-173.9828827381134,-24284.21868109703,45,0.1,0.008771929824561403,0.0018824513700062748
YPL007C,-1,-/-,-179.89950561523438,-23273.343961000443,46,0.09090909090909091,0.008771929824561403,0.002091612633340305
YDL106C,-1,-/-,-185.42458605766296,-24551.30117303133,46,0.08333333333333333,0.008771929824561403,0.002300773896674336
YBR272C,-1,-/-,-187.22841596603394,-25140.42696094513,46,0.07692307692307693,0.008771929824561403,0.0025099351600083664
YDR392W,-1,-/-,-188.2926197052002,-23883.509791612625,46,0.07142857142857142,0.008771929824561403,0.002719096423342397
YJL029C,1,+/+,-188.72470116615295,-24575.890445411205,45,0.13333333333333333,0.017543859649122806,0.002719096423342397
YNL027W,-1,-/-,-189.18639665842056,-25700.709452405572,46,0.125,0.017543859649122806,0.0029282576866764276
YDR294C,-1,-/-,-189.8807816505432,-25087.913722872734,46,0.11764705882352941,0.017543859649122806,0.003137418950010458
YJL036W,1,-/+,-190.13118374347687,-24486.36246317625,46,0.16666666666666666,0.02631578947368421,0.003137418950010458
YML049C,-1,-/-,-190.93862056732178,-25351.580438673496,46,0.15789473684210525,0.02631578947368421,0.003346580213344489
YER143W,1,-/+,-190.98854315280914,-25080.746346592903,46,0.2,0.03508771929824561,0.003346580213344489
YOR162C,-1,-/-,-192.41935992240906,-24466.505116522312,46,0.19047619047619047,0.03508771929824561,0.003555741476678519
YNL317W,-1,-/-,-192.72791695594788,-23358.87212085724,46,0.18181818181818182,0.03508771929824561,0.0037649027400125496
YIL036W,-1,-/-,-192.78646445274353,-24222.819399118423,46,0.17391304347826086,0.03508771929824561,0.00397406400334658
YMR004W,1,-/+,-193.4819523692131,-24718.28481026739,46,0.20833333333333334,0.043859649122807015,0.00397406400334658
YKR055W,-1,-/-,-195.70803213119507,-25126.117891311646,46,0.2,0.043859649122807015,0.00418322526668061
YPL249C,-1,-/-,-195.78383934497833,-26348.094756424427,46,0.19230769230769232,0.043859649122807015,0.004392386530014641
YLR191W,-1,-/-,-195.81203699111938,-25873.207255601883,46,0.18518518518518517,0.043859649122807015,0.004601547793348672
YNR006W,1,+/+,-196.45437955856323,-26840.391253232956,45,0.21428571428571427,0.05263157894736842,0.004601547793348672
YLR369W,-1,-/-,-196.89673972129822,-25149.027931928635,46,0.20689655172413793,0.05263157894736842,0.004810709056682703
YDL142C,-1,-/-,-197.02214932441711,-27922.559079289436,46,0.2,0.05263157894736842,0.005019870320016733
YNL039W,-1,-/-,-197.36438703536987,-25573.954227745533,46,0.1935483870967742,0.05263157894736842,0.005229031583350764
YLR260W,-1,-/-,-197.71599531173706,-26106.266748905182,46,0.1875,0.05263157894736842,0.005438192846684794
YGL130W,-1,-/-,-198.54836189746857,-23961.697829842567,46,0.18181818181818182,0.05263157894736842,0.005647354110018824
YMR115W,-1,0/-,-198.62841174006462,-44026.183221153915,184,0.17647058823529413,0.05263157894736842,0.005856515373352855
