GO Term,AUC,Average Precision
GO:0000054,0.8105701453398871,0.21846026067073615
GO:0000278,0.7665908171962629,0.19545671591840008
GO:0000747,0.599219182692828,0.12828672293709084
GO:0000902,0.6383501824822955,0.13744276505234568
GO:0000910,0.6899969087074066,0.1583194547945803
GO:0001403,0.5990296303691982,0.13049186520562495
GO:0003677,0.720058818728208,0.1722633188021454
GO:0003682,0.5702329546585481,0.11288624433904554
GO:0003700,0.7060869908383601,0.15537816676730584
GO:0003735,0.9452118216171882,0.30463458549637684
GO:0004386,0.7771220008043297,0.19689998719163918
GO:0004518,0.7829399088572563,0.1935936445966363
GO:0005085,0.70231825134495,0.16236065930402108
GO:0005576,0.5807599103474593,0.135596847572884
GO:0005618,0.7697110003863292,0.18698094529184428
GO:0005694,0.8036172731490488,0.21315639238669112
GO:0005730,0.9245693647361636,0.2911312445740808
GO:0005740,0.7690732719544003,0.21418436286733908
GO:0005773,0.6877453643030021,0.1547445544708859
GO:0005777,0.7868639574696407,0.20968755109319454
GO:0005783,0.6962220000330549,0.16623790912533348
GO:0005794,0.7943248172994513,0.20615231270884926
GO:0005815,0.8206424553819022,0.2316359923420982
GO:0005840,0.8824373633741,0.2740403178490021
GO:0005886,0.7297508179145463,0.1895717777846889
GO:0005933,0.6876365450107471,0.1542184256017208
GO:0005938,0.7458745467957766,0.1885499323843555
GO:0006260,0.8252557268976763,0.22896565651284023
GO:0006281,0.8014991821524877,0.2056579977091063
GO:0006310,0.7639759102127811,0.19227431554076346
GO:0006325,0.8078226381782971,0.21128502091223544
GO:0006352,0.8295700879314438,0.21650825379995142
GO:0006353,0.6578357556263866,0.1553628949279135
GO:0006360,0.8923772253447037,0.2684888509427331
GO:0006364,0.9273979966543636,0.29372750373523343
GO:0006366,0.7480707266673827,0.18600156263871626
GO:0006383,0.766074933235851,0.19148919742389264
GO:0006397,0.8076777280003192,0.2170257587270303
GO:0006401,0.7768537260082825,0.21657559447125954
GO:0006413,0.7456202907855608,0.2224779224352154
GO:0006414,0.5312224424093381,0.13457450353221975
GO:0006418,0.7852276443690196,0.22700157524643721
GO:0006457,0.6476691814205842,0.15255469962480395
GO:0006468,0.7447800917367091,0.1763160400309346
GO:0006470,0.5825576178047914,0.12398612927228252
GO:0006486,0.7975431828166634,0.2221614782965996
GO:0006497,0.6856853885834991,0.16843154154476575
GO:0006605,0.6679649092392382,0.14672706924107942
GO:0006629,0.7070223633636065,0.17160636372254653
GO:0006766,0.6640679996087194,0.1633510335480625
GO:0006811,0.7458461828736949,0.18445529382608153
GO:0006865,0.6361116833854158,0.1462185414684484
GO:0006869,0.532510836502569,0.10298375042010595
GO:0006873,0.7038888167145726,0.15889888120984488
GO:0006887,0.6980502218781413,0.1555995671091308
GO:0006897,0.7646004543261793,0.19971357432007789
GO:0006970,0.6915542744519189,0.15559587365727534
GO:0006979,0.7312403624391353,0.19282593830607153
GO:0006997,0.7739199085312324,0.20555073687434197
GO:0007005,0.6867488187235167,0.16697349918972362
