Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/SwapGenes_ProperSwapBack/Original_x_b_113x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/SwapGenes_ProperSwapBack/Original_x_b_113x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 19.070705759892007
Time for 100 Batches: 0.370098610719045
100 Batch Cumulative Loss: 17.94843968388159
Time for 100 Batches: 0.37205938895543417
100 Batch Cumulative Loss: 18.196890966881256
Time for 100 Batches: 0.37247763872146605
100 Batch Cumulative Loss: 19.09213512763381
Time for 100 Batches: 0.36850704352060953
100 Batch Cumulative Loss: 12.878817314944172
Time for 100 Batches: 0.3680726250012716
100 Batch Cumulative Loss: 22.067775110946968
Time for 100 Batches: 0.3736005345980326
100 Batch Cumulative Loss: 17.792596161517565
Time for 100 Batches: 0.3740554928779602
100 Batch Cumulative Loss: 16.73611385928234
Time for 100 Batches: 0.36685318549474083
100 Batch Cumulative Loss: 18.589674352973816
Time for 100 Batches: 0.3754788319269816
100 Batch Cumulative Loss: 17.501464308035793
Time for 100 Batches: 0.3754974802335103
100 Batch Cumulative Loss: 16.030510876327753
Time for 100 Batches: 0.36939911047617596
100 Batch Cumulative Loss: 17.837294099270366
Time for 100 Batches: 0.3751160184542338
100 Batch Cumulative Loss: 19.310043007368222
Time for 100 Batches: 0.3694373885790507
100 Batch Cumulative Loss: 19.168111803359352
Time for 100 Batches: 0.3728321552276611
100 Batch Cumulative Loss: 14.030336526902829
Time for 100 Batches: 0.36812046766281126
100 Batch Cumulative Loss: 18.71926313351014
Time for 100 Batches: 0.3753405531247457
100 Batch Cumulative Loss: 13.881323471898213
Time for 100 Batches: 0.3688089887301127
100 Batch Cumulative Loss: 16.458085807164025
Time for 100 Batches: 0.3737135489781698
100 Batch Cumulative Loss: 14.962526354123838
Time for 100 Batches: 0.3686227242151896
100 Batch Cumulative Loss: 16.060839423851576
Time for 100 Batches: 0.3723164757092794
100 Batch Cumulative Loss: 14.633339749635297
Time for 100 Batches: 0.37205464442571007
100 Batch Cumulative Loss: 14.587171009057784
Time for 100 Batches: 0.37152712742487587
100 Batch Cumulative Loss: 12.11438906705007
Time for 100 Batches: 0.3707551757494609
100 Batch Cumulative Loss: 15.074262153590098
Time for 100 Batches: 0.3693894624710083
100 Batch Cumulative Loss: 16.163566300258026
Time for 100 Batches: 0.37208601633707683
100 Batch Cumulative Loss: 14.793302265970851
Time for 100 Batches: 0.36960368156433104
100 Batch Cumulative Loss: 13.944919860445225
Time for 100 Batches: 0.37366857528686526
100 Batch Cumulative Loss: 16.186672889507463
Time for 100 Batches: 0.3724715789159139
100 Batch Cumulative Loss: 17.910817386531562
Time for 100 Batches: 0.37351574897766116
100 Batch Cumulative Loss: 13.299826208543891
Time for 100 Batches: 0.3734922528266907
100 Batch Cumulative Loss: 16.17421388249204
Time for 100 Batches: 0.3720488707224528
100 Batch Cumulative Loss: 14.319051733938977
Time for 100 Batches: 0.3706945021947225
100 Batch Cumulative Loss: 16.299492795573315
Time for 100 Batches: 0.37289748191833494
100 Batch Cumulative Loss: 11.3301420288808
Time for 100 Batches: 0.36881689230600995
100 Batch Cumulative Loss: 15.436743673169985
Time for 100 Batches: 0.3775111556053162
100 Batch Cumulative Loss: 13.225556670455262
Time for 100 Batches: 0.3676595489184062
100 Batch Cumulative Loss: 15.314351781038567
Time for 100 Batches: 0.374477744102478
100 Batch Cumulative Loss: 12.680239064783564
Time for 100 Batches: 0.3719616015752157
100 Batch Cumulative Loss: 14.841886753594736
Time for 100 Batches: 0.3737250169118245
100 Batch Cumulative Loss: 13.368807207047439
Time for 100 Batches: 0.3744734009106954
100 Batch Cumulative Loss: 14.53914393960622
Time for 100 Batches: 0.37031873464584353
100 Batch Cumulative Loss: 15.608966077493278
Time for 100 Batches: 0.36833238204320273
100 Batch Cumulative Loss: 14.373472325780455
Time for 100 Batches: 0.3747373342514038
100 Batch Cumulative Loss: 13.942594787625978
Time for 100 Batches: 0.37107685804367063
100 Batch Cumulative Loss: 14.844458153340383
Time for 100 Batches: 0.3691355387369792
100 Batch Cumulative Loss: 14.87656276074847
Time for 100 Batches: 0.373179030418396
100 Batch Cumulative Loss: 13.659300800965866
Time for 100 Batches: 0.36739087899525963
100 Batch Cumulative Loss: 15.114915158999793
Time for 100 Batches: 0.3777026375134786
100 Batch Cumulative Loss: 12.65884313078277
Time for 100 Batches: 0.37487929662068686
100 Batch Cumulative Loss: 16.46432505304663
Time for 100 Batches: 0.37276646693547566
100 Batch Cumulative Loss: 12.333784482485498
Time for 100 Batches: 0.37284099658330283
100 Batch Cumulative Loss: 10.570222772017587
Time for 100 Batches: 0.3711859226226807
100 Batch Cumulative Loss: 11.896655765216565
Time for 100 Batches: 0.37660783529281616
100 Batch Cumulative Loss: 11.774306706132847
Time for 100 Batches: 0.37096343040466306
100 Batch Cumulative Loss: 12.79792233720218
Time for 100 Batches: 0.3719755450884501
100 Batch Cumulative Loss: 10.9068155700013
Time for 100 Batches: 0.37268182436625164
100 Batch Cumulative Loss: 12.829010241199285
Time for 100 Batches: 0.3700007081031799
100 Batch Cumulative Loss: 10.367420581878832
Time for 100 Batches: 0.37023787101109823
100 Batch Cumulative Loss: 10.930152370639007
Time for 100 Batches: 0.37234379450480143
100 Batch Cumulative Loss: 11.89732339301554
Time for 100 Batches: 0.3700055996576945
100 Batch Cumulative Loss: 11.421649862491051
Time for 100 Batches: 0.3717011292775472
100 Batch Cumulative Loss: 14.050066174944504
Time for 100 Batches: 0.375896163781484
100 Batch Cumulative Loss: 12.798918075725624
Time for 100 Batches: 0.37954177061716715
100 Batch Cumulative Loss: 10.361004462223832
Time for 100 Batches: 0.3729316870371501
100 Batch Cumulative Loss: 10.92588832095771
Time for 100 Batches: 0.3710111697514852
100 Batch Cumulative Loss: 13.56696610324434
Time for 100 Batches: 0.369905157883962
100 Batch Cumulative Loss: 9.597033224335974
Time for 100 Batches: 0.3737555344899495
100 Batch Cumulative Loss: 11.458432999483193
Time for 100 Batches: 0.3703679879506429
100 Batch Cumulative Loss: 10.051531397475628
Time for 100 Batches: 0.3727415164311727
100 Batch Cumulative Loss: 9.288014629666577
Time for 100 Batches: 0.3729362845420837
100 Batch Cumulative Loss: 10.261027809951685
Time for 100 Batches: 0.36944528818130495
100 Batch Cumulative Loss: 10.994861773392586
Time for 100 Batches: 0.37233139673868815
100 Batch Cumulative Loss: 12.023243040704983
Time for 100 Batches: 0.3695434808731079
100 Batch Cumulative Loss: 9.24477843393106
Time for 100 Batches: 0.3687904437383016
