GO Term,AUC,Average Precision
GO:0000054,0.460024781823866,0.2710292336114428
GO:0000278,0.47069935619528536,0.21051463527638803
GO:0000747,0.4759629814648288,0.17272232135317542
GO:0001403,0.4835877726942338,0.15252973071350293
GO:0002181,0.45659450649528566,0.2974373785189607
GO:0003677,0.4780346645240914,0.1723302209485661
GO:0003682,0.46989578424022066,0.20988989070735195
GO:0003700,0.4708924568754142,0.21135970729453998
GO:0003735,0.45392841911298987,0.3105144877250899
GO:0004386,0.47194588750860234,0.1983669470209967
GO:0004518,0.4695484581771624,0.21461732796240937
GO:0005085,0.4852770727473921,0.14550571679120713
GO:0005576,0.4677137491482982,0.22011702481724998
GO:0005618,0.4681836912973568,0.21964940246871928
GO:0005694,0.4736389120369726,0.19969633571329443
GO:0005730,0.45704293301825105,0.2899629037048329
GO:0005740,0.4721199696201405,0.20620706296508962
GO:0005773,0.47883530612758346,0.17345494350655513
GO:0005777,0.47228147361150397,0.2067255510389805
GO:0005783,0.4752138319093395,0.19483625775778834
GO:0005794,0.4704367287250643,0.21373424494198778
GO:0005840,0.4564765666354995,0.2997467775459994
GO:0005886,0.4769457200364671,0.18439909943667326
GO:0005933,0.47163525967284065,0.2041549942872741
GO:0005938,0.4750891888664813,0.19429396116665817
GO:0006260,0.46902045882579907,0.22024370505389843
GO:0006281,0.4732961520908648,0.19592200463671575
GO:0006310,0.47031388406142915,0.20519318215074864
GO:0006325,0.4685045212849754,0.21373919887569817
GO:0006352,0.4651263980195687,0.23312513662265105
GO:0006353,0.4661579416861898,0.22084434422067553
GO:0006360,0.46262405747213053,0.24590132217041472
GO:0006364,0.45670659583743495,0.28854891143942424
GO:0006366,0.4772724611573113,0.17858827889168805
GO:0006383,0.4689957082423458,0.22344572422788903
GO:0006397,0.4708532470407121,0.2019790381701155
GO:0006401,0.47806065461991637,0.1776699234152382
GO:0006413,0.4750451499630885,0.2044676309078932
GO:0006414,0.4786373455337955,0.17402447383715347
GO:0006418,0.466022287658028,0.23932134273019345
GO:0006457,0.47544951661649976,0.19140671996433625
GO:0006468,0.4783964408960713,0.17087885329804636
GO:0006470,0.4825152727582185,0.14659609092975204
GO:0006486,0.468386959201819,0.24546926249021833
GO:0006629,0.47472747359485284,0.1909966460520571
GO:0006811,0.47252704257265843,0.2041201781257987
GO:0006865,0.4730539508569107,0.19846197102151134
GO:0006869,0.4875736329743357,0.13039846930449658
GO:0006873,0.4848798310715753,0.14493254378641193
GO:0006887,0.46871714235894085,0.2230929955128919
GO:0006897,0.4748308712357519,0.1877055876729163
GO:0006970,0.48548196366962787,0.14317038928717374
GO:0006979,0.4786416042030409,0.1739676642878489
GO:0007005,0.4759018236275522,0.1934197375706651
GO:0007010,0.4744806980519894,0.18920626291700385
GO:0007031,0.4778154181890204,0.17583409491452304
GO:0007033,0.4794327251312233,0.16939242913641714
GO:0007059,0.4679700157486315,0.2284069512229074
GO:0007124,0.47648882506482915,0.17827371201799674
GO:0008033,0.46773005622263536,0.22776628089899367
GO:0008168,0.47493183408250017,0.19688061604242432
GO:0008233,0.4739430964552415,0.20422746046767992
GO:0008289,0.48023204830869176,0.16174413726478815
GO:0008380,0.4708727654659332,0.20635526311194355
GO:0008643,0.4753969636442317,0.20031873753870075
GO:0009408,0.4827491727551493,0.15664978279986164
GO:0009451,0.4645151454155381,0.24117494904182174
GO:0016197,0.47261846188228146,0.20880931903896008
GO:0016301,0.481831749954251,0.15652540911463175
GO:0016491,0.46954083096367555,0.2138159994665872
GO:0016757,0.4683751295474702,0.21887765278938143
GO:0016779,0.4692969775745183,0.22177855497598647
GO:0016791,0.48468565108644013,0.1490323671028018
GO:0016798,0.487274481991716,0.13554852225428277
GO:0016829,0.4762917841719622,0.17329994997449896
GO:0016853,0.48663329968356994,0.13602498125962237
GO:0016874,0.4753228269232998,0.1858921717161482
GO:0019843,0.456219919040772,0.2918860204903917
GO:0022857,0.470221527809131,0.20941091501848264
GO:0030427,0.4742055760278262,0.19376857663826508
GO:0030674,0.4787352625171645,0.16748725018718025
GO:0031410,0.4764613020718594,0.18226989595388823
GO:0032196,0.45721709035009683,0.291225574509664
GO:0032543,0.45829493171402813,0.2907604273916645
GO:0042273,0.45542715990770705,0.3003269018490206
GO:0042274,0.4560233620478817,0.29628913646936417
GO:0042393,0.4683194774038367,0.21761026032539932
GO:0045333,0.47053706771538284,0.23425622881678018
GO:0051082,0.47184560738328846,0.19650907932899214
GO:0051321,0.4727746841032905,0.21354775654727762
GO:0051603,0.47078921187826994,0.21303579731827432
GO:0051726,0.4732747233451512,0.19621926803412762
