Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/RandomInputs_original/Original_x_b_113x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/RandomInputs_original/Original_x_b_113x25000x53_lr0.01_batch50_Test_/
Time for 100 Batches: 0.3711689829826355
100 Batch Cumulative Loss: 413.12079405784607
Time for 100 Batches: 0.36560099522272743
100 Batch Cumulative Loss: 418.16430401802063
Time for 100 Batches: 0.3736260890960693
100 Batch Cumulative Loss: 414.63261318206787
Time for 100 Batches: 0.3728298743565877
100 Batch Cumulative Loss: 404.4245493412018
Time for 100 Batches: 0.37134270668029784
100 Batch Cumulative Loss: 404.541029214859
Time for 100 Batches: 0.3705494523048401
100 Batch Cumulative Loss: 410.4384796619415
Time for 100 Batches: 0.3735956311225891
100 Batch Cumulative Loss: 403.3445072174072
Time for 100 Batches: 0.36939321358998617
100 Batch Cumulative Loss: 406.6253089904785
Time for 100 Batches: 0.37477437655131024
100 Batch Cumulative Loss: 403.948787689209
Time for 100 Batches: 0.37260611057281495
100 Batch Cumulative Loss: 401.275616645813
Time for 100 Batches: 0.3698094367980957
100 Batch Cumulative Loss: 399.6138324737549
Time for 100 Batches: 0.3749972939491272
100 Batch Cumulative Loss: 397.3195786476135
Time for 100 Batches: 0.3703275680541992
100 Batch Cumulative Loss: 399.3492753505707
Time for 100 Batches: 0.37200310627619426
100 Batch Cumulative Loss: 401.35183596611023
Time for 100 Batches: 0.3707506060600281
100 Batch Cumulative Loss: 396.989253282547
Time for 100 Batches: 0.3684999863306681
100 Batch Cumulative Loss: 394.50921630859375
Time for 100 Batches: 0.37123526334762574
100 Batch Cumulative Loss: 392.66101717948914
Time for 100 Batches: 0.37159451643625896
100 Batch Cumulative Loss: 392.44872093200684
Time for 100 Batches: 0.36725966930389403
100 Batch Cumulative Loss: 390.32116746902466
Time for 100 Batches: 0.3699776609738668
100 Batch Cumulative Loss: 391.65675806999207
Time for 100 Batches: 0.3677599827448527
100 Batch Cumulative Loss: 382.1992073059082
Time for 100 Batches: 0.3684487541516622
100 Batch Cumulative Loss: 398.25992584228516
Time for 100 Batches: 0.3707008123397827
100 Batch Cumulative Loss: 385.8331515789032
Time for 100 Batches: 0.36782530943552655
100 Batch Cumulative Loss: 381.18474078178406
Time for 100 Batches: 0.37077974478403725
100 Batch Cumulative Loss: 389.33305311203003
Time for 100 Batches: 0.36492757002512616
100 Batch Cumulative Loss: 383.62168169021606
Time for 100 Batches: 0.3744353771209717
100 Batch Cumulative Loss: 389.9514172077179
Time for 100 Batches: 0.37036494016647337
100 Batch Cumulative Loss: 377.9167945384979
Time for 100 Batches: 0.37055633068084715
100 Batch Cumulative Loss: 375.9937138557434
Time for 100 Batches: 0.3666688919067383
100 Batch Cumulative Loss: 376.009920835495
Time for 100 Batches: 0.3676130493481954
100 Batch Cumulative Loss: 380.27665543556213
Time for 100 Batches: 0.36801861921946205
100 Batch Cumulative Loss: 383.8257780075073
Time for 100 Batches: 0.3704247037569682
100 Batch Cumulative Loss: 379.15116596221924
Time for 100 Batches: 0.37276786963144937
100 Batch Cumulative Loss: 375.5475902557373
Time for 100 Batches: 0.37321467796961466
100 Batch Cumulative Loss: 375.97593092918396
Time for 100 Batches: 0.3666655421257019
100 Batch Cumulative Loss: 375.8492794036865
Time for 100 Batches: 0.3685833692550659
100 Batch Cumulative Loss: 378.50127387046814
Time for 100 Batches: 0.3720715880393982
100 Batch Cumulative Loss: 372.4214754104614
Time for 100 Batches: 0.36964435974756876
100 Batch Cumulative Loss: 373.39391708374023
Time for 100 Batches: 0.374430767695109
100 Batch Cumulative Loss: 369.6524226665497
Time for 100 Batches: 0.3719864328702291
100 Batch Cumulative Loss: 367.9882085323334
Time for 100 Batches: 0.37570576270421346
100 Batch Cumulative Loss: 372.4203815460205
Time for 100 Batches: 0.3663530945777893
100 Batch Cumulative Loss: 377.4583978652954
Time for 100 Batches: 0.36648144721984866
100 Batch Cumulative Loss: 365.3903455734253
Time for 100 Batches: 0.3682192007700602
100 Batch Cumulative Loss: 376.06384229660034
Time for 100 Batches: 0.37665149370829265
100 Batch Cumulative Loss: 373.0694658756256
Time for 100 Batches: 0.368641988436381
100 Batch Cumulative Loss: 370.7411530017853
Time for 100 Batches: 0.3703946312268575
100 Batch Cumulative Loss: 367.60801696777344
Time for 100 Batches: 0.3722636659940084
100 Batch Cumulative Loss: 366.1211447715759
Time for 100 Batches: 0.3690539518992106
100 Batch Cumulative Loss: 368.4568727016449
Time for 100 Batches: 0.3628235618273417
100 Batch Cumulative Loss: 369.23012256622314
Time for 100 Batches: 0.37066044012705485
100 Batch Cumulative Loss: 364.22638988494873
Time for 100 Batches: 0.37460261583328247
100 Batch Cumulative Loss: 363.30239963531494
Time for 100 Batches: 0.37310322920481365
100 Batch Cumulative Loss: 365.2077283859253
Time for 100 Batches: 0.3676937103271484
100 Batch Cumulative Loss: 366.13160276412964
Time for 100 Batches: 0.37062509457270304
100 Batch Cumulative Loss: 363.41334533691406
Time for 100 Batches: 0.37414306004842124
100 Batch Cumulative Loss: 366.17553877830505
Time for 100 Batches: 0.3682384689648946
100 Batch Cumulative Loss: 364.34528136253357
Time for 100 Batches: 0.373075266679128
100 Batch Cumulative Loss: 359.8638045787811
Time for 100 Batches: 0.3676470359166463
100 Batch Cumulative Loss: 359.3243715763092
Time for 100 Batches: 0.37284674247105914
100 Batch Cumulative Loss: 361.2579574584961
Time for 100 Batches: 0.36832650502522785
100 Batch Cumulative Loss: 363.7829921245575
Time for 100 Batches: 0.3711669166882833
100 Batch Cumulative Loss: 361.6136472225189
Time for 100 Batches: 0.36439497470855714
100 Batch Cumulative Loss: 360.789913892746
Time for 100 Batches: 0.3707238515218099
100 Batch Cumulative Loss: 357.91360569000244
Time for 100 Batches: 0.364438525835673
100 Batch Cumulative Loss: 358.97487783432007
Time for 100 Batches: 0.37576199769973756
100 Batch Cumulative Loss: 356.9682881832123
Time for 100 Batches: 0.3711589535077413
100 Batch Cumulative Loss: 359.5238218307495
Time for 100 Batches: 0.37243632078170774
100 Batch Cumulative Loss: 358.64752554893494
Time for 100 Batches: 0.3729866981506348
100 Batch Cumulative Loss: 352.777218580246
Time for 100 Batches: 0.3717678666114807
100 Batch Cumulative Loss: 360.40769052505493
Time for 100 Batches: 0.36758054892222086
100 Batch Cumulative Loss: 355.3846187591553
Time for 100 Batches: 0.3708163340886434
